問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
業務用ガス機器、ガス冷暖房及びコージェネレーションシステムに関する次の記述のうち、誤っているものはどれか。,麺ゆで器の丸釜式には、ダウンドラフト方式により、省エネルギー性を高めたタイプがある。,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。,吸収冷凍機の吸収冷凍サイクルは、蒸発、吸収、再生及び凝縮の各工程からなり、蒸発工程で作られる冷水を用いて冷房する。,コージェネレーションシステムの電主熱従運転は、電力の負荷に合わせて発電し、廃熱はできるだけ利用し、もし余れば放熱する方法である。,家庭用固体酸化物形燃料電池（SOFC）の発電効率は、家庭用ガスエンジンコージェネレーションシステムの発電効率より高い。,,,,,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。
換気及び給排気方式に関する次の記述のうち、 誤っているものはどれか。,機械換気の方法には、換気扇等のファンを、給気口に設置する第2種換気や、排気口に設置する第3種換気がある。,建築基準法により、火気を使用する台所等には、必ず法令で定められた換気設備を設けなければならない。,集合住宅において、パイプシャフトの扉部にはRF式機器が、パイプシャフト内部（壁面）にはFF式機器が設置される。,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。,RF式機器の設置工事は、ガス消費機器設置工事監督者の監督下で施工する必要はない。,,,,,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。
ガス機器の制御装置及び安全装置に関する次の記述のうち、 誤っているものはどれか。,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。,温度制御に用いられるサーミスターは、金属の酸化物を2種類以上混合、焼結したもので、負の温度特性を持ちその値は等比的に変化する。,立ち消え安全装置には、熱起電力を利用して炎の検知を行う熱電対式と、炎の導電性と整流性を利用して炎の検知を行うフレームロッド式がある。,過熱防止装置として利用される温度ヒューズは、取り付け部分の雰囲気温度が異常に高くなった場合に回路を遮断し、再起動するには交換しなければならない。,ガス量を制御する方式には、段階的にガス量を制御する多段式と、連続的にガス量を制御する比例制御式がある。,,,,,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。
警報器に関する次の記述のうち、誤っているものはどれか。,ガス警報器は、 メタン濃度が0.2~0.5%程度で鳴り始めるよう調整されているものが多い。,電池式ガス警報器には、火災警報機能や不完全燃焼警報機能を搭載したものがある。,半導体式ガス警報器は、センサーに可燃性ガスが触れるとその表面に化学吸着して、半導体の電気伝導度が低下する性質を利用してガスを検知する。,業務用換気警報器に用いられる電気化学式センサーの構造及び原理は、ほぼ燃料電池と同様である。,"業務用換気警報器は、 ガス機器から水平距離は50cm以上8m以内で、 ガス機器が設置してある部屋と同一の室内に設置しなければならない。
",,,,,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。
ガス機器とガス栓との接続に関する次の記述のうち、誤っているものはどれか。,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。,常設形業務用厨房機器とガス栓との接続には、金属可とう管が使用されている。,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。,ガスコンセントでは、迅速継手が不完全に接続された場合でも、ガスは流れず漏れない。,ガスコードは、鋼線で補強されたゴム製ホースの両端に迅速継手がついた定尺の接続具で、ガスコンセントとファンヒーター等との接続に用いられる。,,,,,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。
ガスの燃焼に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼は酸化反応であり、反応が最後まで完結しないで中間生成物(一酸化炭素、水素、アルデヒド等)が発生している状態を不完全燃焼という。,ブンゼンバーナーにおいて、ガス圧が異常に低下したり、ノズルが詰まったりしてガス量が極端に少なくなると、フラッシュバックが発生する。,機器の燃焼室内の給排気不良により二次空気が極端に減少すると、リフティングが発生する。,燃焼反応が十分な速さで進まないと、イエローチップが発生する。,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,,,,,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。
円形のノズルから噴出するガス量について、ノズルの口径を4倍、ガスの圧力を4倍にしたとき、ガス量は何倍になるか。次の値のうち、最も近いものはどれか。,4,8,16,32,64,,,,,32
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,Q機能を搭載した瞬間湯沸器では、冷水サンドイッチ現象を緩和し、安定した湯温を得ることができる。,瞬間湯沸器のメインバーナーには、炎が短く燃焼室を小さくできるセミ・ブンゼンバーナーが一般に用いられる。,ふろ給湯器の設置方式には、浴室隣接設置形と設置フリー形とがある。,ハイブリッド給湯器は、電気ヒートポンプと潜熱回収型ガス給湯器で必要なお湯の量に合わせて効率的に運転を行うシステムである。,エコーネットライトは、HEMSとガス機器(燃料電池等)との接続に利用できる標準通信仕様である。,,,,,瞬間湯沸器のメインバーナーには、炎が短く燃焼室を小さくできるセミ・ブンゼンバーナーが一般に用いられる。
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろには、調理油過熱防止装置を利用して鍋が焦げ付き始めると自動消火するものがある。,グリルは、直火によって主として伝導熱で調理する機器である。,コンビネーションレンジは、ガスオーブンに電子レンジ機能が内蔵されたものである。,衣類乾燥機には、湿り空気を排出する排湿筒が取り付けられるようになっている。,赤外線ストーブには、放射体としてセラミックプレートを用いたものと、特殊耐熱鋼金網を用いたものとの2種類がある。,,,,,グリルは、直火によって主として伝導熱で調理する機器である。
コージェネレーションシステムと業務用ガス機器に関する次の記述のうち、誤っているものはどれか。,固体酸化物形燃料電池には、CO変成器が搭載されている。,吸収冷温水機は、冷媒に水を用いるノンフロン空調機である。,浸管式フライヤーには、油槽中の浸管内でガスを燃焼させて加熱する方式と、燃焼排ガスを通過させて加熱する方式とがある。,中華レンジには、火力を強力にするため、ブラストバーナーを用いたものがある。,遠赤外線ヒーターでは、セラミック特殊塗料で仕上げられた放射管等の表面から多量の遠赤外線が放射される。,,,,,固体酸化物形燃料電池には、CO変成器が搭載されている。
換気と一酸化炭素(CO)中毒に関する次の記述のうち、誤っているものはどれか。,自然換気における空気の流れを起こす力の種類には、風圧を利用したものと、空気の温度差によって生じる浮力を利用したものとがある。,必要換気量とは、室内の酸素濃度をある限界以上に保つための換気量の最小値のことである。,一人の成人男性が安静に座っている状態での必要換気量は、建築基準法関係法令では20㎥/hとされている。,換気扇に用いられるシロッコファンは、ターボファンに比べ効率が高い。,COは、ヘモグロビンに対する結合力が酸素の200～300倍強く、吸入により酸素欠乏症状をひきおこしやすい。,,,,,換気扇に用いられるシロッコファンは、ターボファンに比べ効率が高い。
給排気に関する次の記述のうち、誤っているものはどれか。,CF式ふろがまの排気筒トップに用いられる材料は、不燃性、耐熱性及び耐食性のあるものでなければならない。,BF式ふろがまを屋内に設置する場合は、設置する部屋に専用の給気口及び換気口は必要ない。,BF式ふろがまは、新規に浴室内に設置することはできない。,CF式ふろがまの逆風止めは、機器と同一室内に設置する必要がある。,FE式湯沸器では、排気筒の横引き長さと高さとの関係には特に規定がない。,,,,,BF式ふろがまは、新規に浴室内に設置することはできない。
ガス機器の安全装置、点火装置及び制御装置に関する次の記述のうち、誤っているものはどれか。,水位制御装置には、自動湯張り機能付き温水機器のように任意に設定された水位を保つものと、貯蔵湯沸器のように固定された一定の水位を保つものとがある。,点火時安全装置とは、燃焼室を持つガス機器の残留未燃ガスによる爆発点火を防止するためのものである。,瞬時点火装置では、熱電対の起電力が十分に発生するまでの間、コンデンサーの放電電流によりガス弁を開状態に保持している。,ガス量制御に用いられる比例電磁弁には、固定コイル式と可動コイル式とがある。,機械式温度制御装置における温度検出部の方式には、気体膨張式と液体膨張式とがある。,,,,,機械式温度制御装置における温度検出部の方式には、気体膨張式と液体膨張式とがある。
ガス機器とガス栓との接続及び警報器に関する次の記述のうち、誤っているものはどれか。,ヒューズガス栓には、作動流量の異なるいくつかの種類があり、使用機器のインプット等に応じて選択する必要がある。,ガスコンセントは、迅速継手を接続するだけで栓が自動的に開き、外すと閉じる構造となっている。,オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構が作動せずガスが流出する。,家庭用のガス警報器には、ガスを検出するセンサーを小型化かつ省電力化することで電池駆動を可能にしたものがある。,家庭用のガス警報器に使用されている検出方式は、半導体式、接触燃焼式及び熱線型半導体式に大別される。,,,,,オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構が作動せずガスが流出する。
"""消費機器の技術上の基準で規定されている次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ガスの消費量が12kWを超える屋内に設置するガス調理機器であって、密閉燃焼式以外のものには、当該燃焼器に接続して排気筒を設けること。ただし、当該燃焼器の構造上その他の理由によりこれによることが困難な場合において、当該燃焼器のための排気フードを設けるときは、この限りでない。

口　屋内に設置する自然排気式の燃焼器の排気筒 (排気扇を接続するものを除く。)の有効断面積は、当該燃焼器の排気部との接続部の有効断面積より小さいこと。

ハ　燃焼器の排気筒に接続する排気扇には、これが停止した場合に当該燃焼器へのガスの供給を自動的に遮断する装置を設けること。

ニ　ガス湯沸器(暖房兼用のものを含む。)であって、密閉燃焼式のもの(屋内に設置するものに限る。)の給排気部が外壁を貫通する箇所には、当該給排気部と外壁との間に点検のための隙間を設けること。

ホ　ガス湯沸器(暖房兼用のものを含む。)であって、密閉燃焼式のもの(屋内に設置するものに限る。)の給排気部の先端は、鳥の侵入により給排気が妨げられるおそれのない構造であること。""",イ、ハ,イ、ホ,口、ハ,口、二,二、ホ,,,,,口、二
ガスの燃焼及び燃焼方式に関する次の記述のうち、誤っているものはどれか。,一般に、供給ガスの発熱量は総発熱量で表す。,混合ガスの燃焼限界は、各可燃性ガスの容積% と燃焼限界から計算で求めることができる。,空気中におけるメタンの着火温度は、プロパンの着火温度より低い。,各燃焼方式にて、二次空気の割合は大きい順に、赤火燃焼式、セミブンゼン燃焼式、ブンゼン燃焼式であり、 炎の温度は低い順に、赤火燃焼式、セミブンゼン燃焼式、ブンゼン燃焼式である。,パルス燃焼のバーナーは、燃焼室と尾管 (排気管)により構成され、コンパクトな燃焼空間で、ガスと空気の混合気を瞬時に燃焼させる。,,,,,空気中におけるメタンの着火温度は、プロパンの着火温度より低い。
ガス燃焼時に生じるフラッシュバックの原因に関する次の記述のうち、誤っているものはどれか。,ガス圧が異常に低下したり、ノズルや器具栓等が詰まって、ガス量が極端に少なくなる。,燃焼機器が設置されている室内の給排気が不良で、二次空気が極端に減少する。,一次空気のダンパーが開きすぎ、一次空気の吸引が多すぎて、混合ガスの燃焼速度が速くなる。,バーナー部分が高温になり、そこを通るガスの温度が上昇し、燃焼速度が速くなる。,"古いバーナーを掃除することにより、腐食された部分が落ち、炎口が大きくなる。
",,,,,燃焼機器が設置されている室内の給排気が不良で、二次空気が極端に減少する。
家庭用ガス温水機器に関する次の記述のうち、誤っているものはどれか。,瞬間湯沸器の給湯能力は号数で表され、1号は約1.75kWである。,BF-DP式ふろがまは、本体天板上部より給気管と排気管を別々に2本立ち上げ、給気筒トップ 排気筒トップを各々設けて接続することにより、バランス燃焼させる。,長期使用製品安全点検制度の見直しによって、現在は屋内式ガス瞬間湯沸器、屋内式ガスふろがまは、同制度の対象品目から削除されている,給湯暖房用熱源機の分類において、2缶3水の「2缶」は燃焼により直接加熱される熱交換器の数を、「3水」は回路(給湯回路、ふろ回路、暖房回路)の数を表している。,潜熱回収型給湯器(エコジョーズ)の凝縮水は、強酸性であるため、中和器で水質が改善された後排出される。,,,,,BF-DP式ふろがまは、本体天板上部より給気管と排気管を別々に2本立ち上げ、給気筒トップ 排気筒トップを各々設けて接続することにより、バランス燃焼させる。
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろ、ストーブ及び回転ドラム式衣類乾燥機は、ガス用品に指定されている。,回転ドラム式衣類乾燥機は、開放式ガス機器である。,こんろの焦げ付き消火機能は、鍋が焦げ付き始めると自動消火する機能であり、調理油過熱防止装置の温度センサーが利用されている。,ファンヒーターの室温自動制御機能には、温度センサーとして主にサーミスターが使用されている。,FF暖房機では一般に、給気管は軟質塩化ビニール製、排気管はステンレス鋼板製である。,,,,,こんろ、ストーブ及び回転ドラム式衣類乾燥機は、ガス用品に指定されている。
業務用ガス機器、ガス冷暖房及びコージェネレーションシステム(CGS)に関する次の記述のうち、誤っているものはどれか。,業務用厨房の排気ダクト接続型半密閉式湯沸器には、防火性能評定試験基準に合格している潜熱回収型がある。,マルチ温水機は、30号から50号等の給湯器を複数台設置し、流量負荷に応じて、台数制御して大量給湯を行う。,空調用吸収冷凍機は作動媒体として、冷媒に水、吸収剤に臭化リチウム水溶液を用いている。,ガスエンジンヒートポンプ(GHP)の暖房サイクルでは、室内の熱交換器を凝縮器、室外の熱交換器を蒸発器として利用している。,ガスエンジン式CGSでは、数千kW規模の需要には対応できない。,,,,,ガスエンジン式CGSでは、数千kW規模の需要には対応できない。
換気に関する次の記述のうち、誤っているものはどれか。,自然換気は、自然条件を利用した非常に不安定な換気方法であるため、常時大量の熱や煙を発生するような工場では効果が出ない。,機械換気の方式のうち局所換気方式は、フードの取付け位置や形状等にある程度の制限はあるが、高濃度排気による高い換気効率が得られる。,ガス機器のガス消費量が同じ場合でも、換気扇のフード有無やフードの形状等によって、調理室の必要換気量は変わる。,換気を行うために必要な条件は、空気の排出口があること、空気の流入口があること、空気の流れを起こす力があることである。,自然換気回数は、室の容積分の空気量が1時間に何回自然に入れ替わるかを「回/h」で表したものである。,,,,,自然換気は、自然条件を利用した非常に不安定な換気方法であるため、常時大量の熱や煙を発生するような工場では効果が出ない。
ガス機器の給排気に関する次の記述のうち、誤っているものはどれか。,自然排気式 (CF式)機器の逆風止め(バフラー)には、排気筒の過度なドラフトによる消火や熱効率の低下を防ぐ効果もある。,自然排気式(CF式)機器の排気筒トップ及び排気筒の材料は、不燃性、耐熱性、耐食性のあるものでなければならない。,自然排気式(CF式)ふろがまの排気筒の壁貫通穴を利用して設置できるものとして、自然給排気式(BF式)のBF-DP式ふろがまがある。,強制排気式(FE式)機器を設置する室には、給気口又は開口部は不要である。,屋外式(RF式)機器は、給排気をすべて屋外で行い、室内空気を汚染させないが、建物開口部から室内へ排気ガスが流入しないこと等、設置上の留意点がある。,,,,,強制排気式(FE式)機器を設置する室には、給気口又は開口部は不要である。
ガス機器の安全装置及び安全機能に関する次の記述のうち、誤っているものはどれか。,ガス機器の安全装置は、安全に停止するフェイルセーフを思想として構成されている。,ガス機器の安全装置の搭載は、法令で規定されていないものもある。,不完全燃焼防止装置は、現在販売されている全ての家庭用ガス機器に搭載されている。,立ち消え安全装置には、熱電対式とフレームロッド式がある。,現在販売されている開放式小型湯沸器には、機器の使用が10万回を超えるとランプ表示等でお知らせするタイムスタンプ機能が搭載されている。,,,,,不完全燃焼防止装置は、現在販売されている全ての家庭用ガス機器に搭載されている。
ガス栓、接続具及び警報器に関する次の記述のうち、誤っているものはどれか。,シリンダーとヒューズボール等から構成されているガス栓のヒューズ機構では、ガス栓が誤開放されるとヒューズボール等が通過孔をふさぐことによりガスを遮断する。,ガス機器のホースエンドロに器具用スリムプラグを取りつけることで、ガスコードを使って、ガスコンセントと接続することができる。,都市ガス用のガス警報器には、一過性のガスによる警報を防止するため、一定時間連続してガスを検知した後に警報する遅延警報型がある。,家庭用のCO警報器のCOセンサーには、アルコールの影響を抑えるため活性炭フィルターが内蔵されている。,業務用換気警報器は、天井より30cm以内の高さに設置する。,,,,,業務用換気警報器は、天井より30cm以内の高さに設置する。
ガスの燃焼方式に関する次の記述のうち、誤っているものはどれか。,赤火燃焼式は、ガスをそのまま大気中に噴出して燃焼させる方式で、燃焼に必要な空気は、すべて周囲大気から拡散によって供給される。,炎の温度は、ブンゼン燃焼式より赤火燃焼式の方が高い。,濃淡燃焼バーナーは、全一次空気式バーナーとブンゼンバーナーを交互に配置した構造となっている。,ブラスト燃焼とは、燃焼用の空気をバーナー内にファンで強制的に送り込み、ノズルから噴出されるガスと混合し燃焼させる方式である。,触媒燃焼とは、可燃性ガスと酸素との反応を促進させる固体触媒を使用し燃焼させる方式である。,,,,,炎の温度は、ブンゼン燃焼式より赤火燃焼式の方が高い。
ガス燃焼時に生じるリフティングの原因に関する次の記述のうち、誤っているものはどれか。,バーナー内のガス圧が高すぎて、ガスが出すぎる。,一次空気の吸引が多すぎて、混合ガス量が増えすぎる。,燃焼室内の給排気不良により、二次空気が極端に減少する。,バーナー部分が高温になり、そこを通る混合ガスの温度が上がりすぎる。,バーナーの炎口が詰まって、炎口の有効面積が極端に小さくなる。,,,,,バーナー部分が高温になり、そこを通る混合ガスの温度が上がりすぎる。
家庭用ガス温水機器に関する次の記述のうち、 誤っているものはどれか。,給湯器の自己診断機能には、給排気通路の閉そく状態を検知する方法として 燃焼状態により診断する方法と給気ファンの風量低下により診断する方法とがある。,潜熱回収型給湯器の中和器内では、炭酸カルシウムと排ガス凝縮水中の硝酸水との反応により、硝酸カルシウムが生成される。,先止め式瞬間湯沸器は、出湯側に給湯配管を接続し、複数箇所に給湯することができる。,現在販売されている開放式小型湯沸器には、不完全燃焼防止装置が複数回連続して作動したときに、通常の操作による再点火ができなくなるインターロック機能が搭載されている。,給湯器の出湯温度は、設定温度との差を補正するためのフィードフォワード制御によりばらつきが抑えられている。 ,,,,,給湯器の出湯温度は、設定温度との差を補正するためのフィードフォワード制御によりばらつきが抑えられている。 
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,マイコンタイマー式炊飯器は、炊き分け機能、早炊き機能等を有し、自動的にガス量や燃焼時間をコントロールしながら炊き上げるものである。,FF暖房機では一般に、給気管は軟質塩化ビニール製、 排気管はステンレス鋼板製である。,「Siセンサーコンロ」の標準搭載機能は、調理油過熱防止装置、立ち消え安全装置、消し忘れ消火機能、早切れ防止機能である。,回転ドラム式衣類乾燥機は、空気で希釈された燃焼排ガスにより、ドラムの中の洗濯物を直接乾燥させるものである。,ファンヒーターには、不完全燃焼防止装置が搭載されているので、使用に際して換気をする必要はない。,,,,,ファンヒーターには、不完全燃焼防止装置が搭載されているので、使用に際して換気をする必要はない。
