Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column13
 強化ガスホースは、主として（  17　）ガス機器のうち、設置状況に合わせた現場施工が可能であることから、小型湯沸器等に用いられる。また可とう性もあることから、動く可能性のあるガス機器に用いられる。,可とう管型,ホースエンド型,ねじ接合,300㎜,常設型,150㎜,防熱カバー,外れ,コンセント式,常設型
小型湯沸器のコンロ直上設置の際、（  18　）を使用することとなっている。,可とう管型,ホースエンド型,ねじ接合,300㎜,常設型,150㎜,防熱カバー,外れ,コンセント,防熱カバー
小型湯沸器との接続で強化ガスホースを使用する場合はコンロから（  19　）以上の離隔が必要である。,可とう管型,ホースエンド型,ねじ接合,300㎜,常設型,150㎜,防熱カバー,外れ,コンセント,150㎜
ガスコードの接続両端は（  20　）式,可とう管型,ホースエンド型,ねじ接合,300㎜,常設型,150㎜,防熱カバー,外れ,コンセント,コンセント
ガスコードは接続部の（  21　）がなく、取付け取外しが容易である。,可とう管型,ホースエンド型,ねじ接合,300㎜,常設型,150㎜,防熱カバー,外れ,コンセント,外れ
金属可とう管両端部の接続方法は、（  22　）である。,可とう管型,ホースエンド型,ねじ接合,300㎜,常設型,150㎜,防熱カバー,外れ,コンセント,ねじ接合
ソフトコードは、（  23　）のガス栓とガス機器の接続に用いる。,可とう管型,ホースエンド型,ねじ接合,300㎜,常設型,150㎜,防熱カバー,外れ,コンセント,ホースエンド型
開放燃焼式ガス機器は、燃焼用の空気を屋内から取り、（  24　）をそのまま屋内に排出する方式である。,換気能力,燃焼排ガス,12,CF,FE,BF,FF,14,排気筒,燃焼排ガス
開放燃焼式ガス機器の例として、ガス消費量が（  25　）ｋＷ以下の瞬間小型湯沸器、ガス消費量が７ｋＷ以下のストーブ等があげられる。,換気能力,燃焼排ガス,12,CF,FE,BF,FF,14,排気筒,12
半密閉燃焼式ガス機器は、燃焼用の空気を屋内から取り、燃焼排ガスを（  26　）で屋外に排出する方式である。,換気能力,燃焼排ガス,12,CF,FE,BF,FF,14,排気筒,排気筒
半密閉燃焼式ガス機器の自然ドラフトによる自然排気式を（  27　）式という。,換気能力,燃焼排ガス,12,CF,FE,BF,FF,14,排気筒,CF
半密閉燃焼式ガス機器の排気ファンによる強制排気式を（  28　）式という。,換気能力,燃焼排ガス,12,CF,FE,BF,FF,14,排気筒,FE
密閉燃焼式ガス機器の給排気を自然通気力により行う自然給排気式を（  29　）式という。,換気能力,燃焼排ガス,12,CF,FE,BF,FF,14,排気筒,BF
密閉燃焼式ガス機器のファンにより強制的に給排気を行う強制給排気式を（  30　）式という。,換気能力,燃焼排ガス,12,CF,FE,BF,FF,14,排気筒,FF
   ガス機器が不完全燃焼している場合や給排気設備が不備な場合に、排気ガスによる一酸化炭素（  31　）の危険がある。,両機能,どちらか一方の機能,中毒事故,火災事故,CO,火災検知,業務用換気,赤外線,熱,中毒事故
排気ガスによる一酸化炭素中毒事故を防止するための警報装置として、家庭用として（  32　）警報器がある。,両機能,どちらか一方の機能,中毒事故,火災事故,CO,火災検知,業務用換気,赤外線,熱,CO
排気ガスによる一酸化炭素中毒事故を防止するための警報装置として、業務用として（  33　）警報器がある。,両機能,どちらか一方の機能,中毒事故,火災事故,CO,火災検知,業務用換気,赤外線,熱,業務用換気
   空気より軽いガス用の場合は、ＣＯ検出と都市ガス（空気より軽いガスに限る）検出の（  34　）を有したものもある。,両機能,どちらか一方の機能,中毒事故,火災事故,CO,火災検知,業務用換気,赤外線,熱,両機能
複合型のガス警報器には、CO警報機能や（  35　）警報機能を有しているものがある。,両機能,どちらか一方の機能,中毒事故,火災事故,CO,火災検知,業務用換気,赤外線,熱,火災検知
火災警報機能は火災による（  36　）を検知するものと、煙を検知するものがある。,両機能,どちらか一方の機能,中毒事故,火災事故,CO,火災検知,業務用換気,赤外線,熱,熱
消費機器調査は、ガス事業法第１５９条第２項の規定に基づき、ガス機器の（  37　）調査を行うことが定められている。,警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,給排気設備
消費機器調査は、ガス事業法第１５９条第２項の規定に基づき、特定地下街等、特定地下室等の接続具やガス漏れ（  38　）の調査を行うことが定められている。,警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,警報設備
技術上の基準に適合していない設備の所有者又は占有者に対して（  39　）を行う。,警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,通知
調査の対象となっている（  40　）防止機能を有しない機器について、安全型機器を紹介する。,警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,不完全燃焼
ガス事業者は確認できる範囲内で幅広く調査を行い、技術基準に適合しない機器の修理又は使用を中止する等の措置及びその措置をとらなかったときに生ずべき（  41　）をお客さまに通知することで、ガス又は排ガスによる事故を未然に防止することを目的とする。,警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,結果
消費機器調査は、ガスの使用申し込み時および４年に1回以上行う。（  42　）は、調査実施後の1ヶ月を越えた日以降、5ヶ月以内に行う。※ただし、通知の日から1ヶ月以内に改善されたことを知った場合は、1ヶ月以内に実施することも可能。,再調査,改善折衝,1回,3回,予備調査,2回,,,,再調査
技術基準不適合の場合、毎年度（  43　）以上、通知を行う。,再調査,改善折衝,1回,3回,予備調査,2回,,,,1回
消費機器調査の対象機器は、・ガスふろがま　・ガス瞬間湯沸器　・ガス貯湯湯沸器　・ガス常圧貯蔵湯沸器のうち、（  44　）されている場合、及び屋外に設置されていても、その排気筒又は給排気部が屋内に設置されている場合は、給排気設備の調査も行う。,危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,屋内に設置
・ガスふろがま　・ガス瞬間湯沸器　・ガス貯湯湯沸器　・ガス常圧貯蔵湯沸器であっても、（  45　）防止機能の付いているものは、消費機器調査の省略が可能である。,危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,不完全燃焼
・ガスふろがま　・ガス瞬間湯沸器　・ガス貯湯湯沸器　・ガス常圧貯蔵湯沸器であっても、（  46　）の機器であって特監法に基づき設置されたものは消費機器調査の省略が可能である。,危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,密閉燃焼式
以下に該当するものは、消費機器調査の省略が可能である。「不完全燃焼する状態に至った場合に当該消費機器へのガスの供給を自動的に(  47　)し燃焼を停止する機能を有すると認められるもの。」,危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,遮断
ガスふろがま、ガス湯沸器の給排気設備調査において、屋内設置の不完全燃焼防止機能なし開放燃焼式ガス瞬間湯沸器の（  48　）濃度を測定する。,特定,О₂,排気筒,給気,排ガスCO,特殊,停電時,換気,開栓時,排ガスCO
強制排気式のガス瞬間湯沸器のうち（  49　）の燃焼器又は後付排気扇ＣＦ式湯沸器等があった場合は通電時検査及び停電時検査を実施する。,特定,О₂,排気筒,給気,排ガスCO,特殊,停電時,換気,開栓時,特定
強制排気式のガス瞬間湯沸器のうち特定の燃焼器又は後付排気扇ＣＦ式湯沸器等があった場合は通電時検査及び（50）検査を実施する。,特定,О₂,排気筒,給気,排ガスCO,特殊,停電時,換気,開栓時,停電時
   強制排気式のガス瞬間湯沸器のうち特定の燃焼器又は後付排気扇ＣＦ式湯沸器等があった場合は（  51　）先端のホコリ詰まりの確認を実施する。,特定,О₂,排気筒,給気,排ガスCO,特殊,停電時,換気,開栓時,排気筒
業務用厨房を有する場合は、業務用需要家用（ 52　）ステッカーが貼付されていることを確認する。,特定,О₂,排気筒,給気,排ガスCO,特殊,停電時,換気,開栓時,換気
開放燃焼式ガス瞬間湯沸器の給排気方式が「窓」の場合、窓の位置が床面から天井面の高さの（  53　）より高い所にあることを確認する。,3分の1,スモークテスト,給気部,2分の1,内規,圧力テスト,排気部,告示,ガス漏れ検査,2分の1
開放燃焼式ガス瞬間湯沸器の給排気方式が「換気扇」の場合、換気扇の上部がガス湯沸器の（  54　）の最上部より高い位置にあることを確認する。,3分の1,スモークテスト,給気部,2分の1,内規,圧力テスト,排気部,告示,ガス漏れ検査,排気部
強制排気式の（　55　）で定める特定の燃焼器は点検要領により、正常に排気が排出されるか調査する。,3分の1,スモークテスト,給気部,2分の1,内規,圧力テスト,排気部,告示,ガス漏れ検査,告示
半密閉燃焼式機器で給排気方式が排気フード方式の場合、排気フードとガス湯沸器の位置関係を目視にて確認し、必要に応じて（  56　）を行い燃焼排ガスの吸い込みを確認する。,3分の1,スモークテスト,給気部,2分の1,内規,圧力テスト,排気部,告示,ガス漏れ検査,スモークテスト
給排気方式が換気扇方式の場合、換気扇の羽根径は直径を測定、または（  57　）にて確認する。,18㎜,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,16㎜,日本ガス機器検査協会,隙間,銘板の表示
半密閉燃焼式機器で自然排気方式の場合、排気筒先端は直径（  58　）球が入らないような防鳥構造になっているか確認する。,18㎜,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,16㎜,日本ガス機器検査協会,隙間,16㎜
給気口に木製ガラリが設けられている場合、給気口の見かけ上の面積×（  59　）で有効面積を算出する。,18㎜,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,16㎜,日本ガス機器検査協会,隙間,0.4
給排気部の外壁貫通箇所には、燃焼排ガスが屋内に流入する（  60　）がないことを確認する。,18㎜,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,16㎜,日本ガス機器検査協会,隙間,隙間
技術基準みなし適合の当該機器の点検は、（  61　）の合格証が貼付されていることを確認すること。,18㎜,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,16㎜,日本ガス機器検査協会,隙間,日本ガス機器検査協会
技術基準みなし適合の当該機器の点検は、雰囲気検知式の（  62　）防止機能付の機器であることを目視により確認すること。,18㎜,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,16㎜,日本ガス機器検査協会,隙間,不完全燃焼
調査・点検時にガスの使用者が不在の場合には、次の調査希望日についてのガス事業者への（  63　）を投入する等の措置を講ずる。,ガス事業法,作業方法,2回,不在連絡表,連絡方法,無断,3回,記録,点検表,連絡方法
調査・点検時にガスの使用者が不在の場合には、次の調査予定日が告知されている（  64　）を投入する等の措置を講ずる。,ガス事業法,作業方法,2回,不在連絡表,連絡方法,無断,3回,記録,点検表,不在連絡表
調査における不在のお客さまに対しては、各社で定める要領に基づき（  65　）以上の訪問を行う。,ガス事業法,作業方法,2回,不在連絡表,連絡方法,無断,3回,記録,点検表,3回
お客さまが不在の場合は、お客さま敷地内へ決して（  66　）で立ち入らない。,ガス事業法,作業方法,2回,不在連絡表,連絡方法,無断,3回,記録,点検表,無断
お客さまより拒否された場合は、（  67　）で定められた調査・点検であることの趣旨をよく説明し、ご了解いただけるよう努力する。,ガス事業法,作業方法,2回,不在連絡表,連絡方法,無断,3回,記録,点検表,ガス事業法
調査・点検のご了解がどうしても得られない場合は、訪問日時、内容、拒否された旨等を明確に(  68　)しておく必要がある。,ガス事業法,作業方法,2回,不在連絡表,連絡方法,無断,3回,記録,点検表,記録
保安業務規程において規定する自主保安業務の中で、特にガス小売事業者が実施することを期待される作業としては、ガス機器の（  69　）がある。,SIセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,接続具の確認
保安業務規程において規定する自主保安業務の中で、特にガス小売事業者が実施することを期待される作業としては、不完全燃焼防止装置なし小型湯沸器の（  70　）がある。,SIセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,排ガスCO濃度測定
保安業務規程において規定する自主保安業務の中で、特にガス小売事業者が実施することを期待される作業としては、業務用厨房にてガスを使用するお客さまに対する（  71　）の設置促進がある。,SIセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,業務用換気警報器
供給ガス種適応性調査は、（  72　）に行うことが法定作業となる。,SIセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,供給開始時
供給ガス種不適応機器発見時には書面通知により不適応を指摘するとともに改善方法を指導し、お客さま了解の上で（  73　）を貼付する。,SIセンサーコンロ,業務用換気警報器,出湯温度調整,排ガスCO濃度測定,清掃,接続具の確認,換気ステッカー,使用禁止ステッカー,供給開始時,使用禁止ステッカー
簡易的な内管漏えい確認の方法として、メーター末端指針位置の動止を4分間監視する（　74　）がある。,精し確認,動止確認,漏洩あり,誤操作,指さし確認　,,,,,動止確認
簡易的な内管漏えい確認方法で、開始時と終了時で指針の位置が違う場合には（  75　）等と判断する。,精し確認,動止確認,漏洩あり,誤操作,指さし確認　,,,,,漏洩あり
周知は、ガスの使用に伴う（  76　）の防止に関する必要な事項をガスの使用者に知らしめる。,個別周知,事故防止,危険の発生,内容,中毒事故防止,手間,特別周知,ガス漏れ,時期,危険の発生
周知は、（  77　）を図ることを目的として、ガス事業者に課せられている業務である。,個別周知,事故防止,危険の発生,内容,中毒事故防止,手間,特別周知,ガス漏れ,時期,事故防止
周知は、その周知を行う（  78　）及び時期に応じて、一般周知、開栓時周知、個別周知に分類される。,個別周知,事故防止,危険の発生,内容,中毒事故防止,手間,特別周知,ガス漏れ,時期,内容
周知は、その周知を行う内容及び（  79　）に応じて、一般周知、開栓時周知、個別周知に分類される。,個別周知,事故防止,危険の発生,内容,中毒事故防止,手間,特別周知,ガス漏れ,時期,時期
周知は、その周知を行う内容及び時期に応じて、一般周知、開栓時周知、（  80　）に分類される。,個別周知,事故防止,危険の発生,内容,中毒事故防止,手間,特別周知,ガス漏れ,時期,個別周知
ガス事業者は、全てのお客さまに対して、（  81　）以上周知を実施する。,2年に1回,1年に1回,特定多数,不測の事態,予測の事態,不特定多数,3年に1回,1月に1回,,2年に1回
ガス事業者は、特定地下街等、特定地下室等、超高層建物並びに特定大規模建物のお客さまに対しては、（  82　）以上、一般需要家周知と同様の目的の周知を実施する。,2年に1回,1年に1回,特定多数,不測の事態,予測の事態,不特定多数,3年に1回,1月に1回,,1年に1回
特定地下街等、特定地下室等、超高層建物並びに特定大規模建物は、（  83　）の人が利用するなど不測の事態が発生した場合の影響が大きい。,2年に1回,1年に1回,特定多数,不測の事態,予測の事態,不特定多数,3年に1回,1月に1回,,不特定多数
特定地下街等、特定地下室等、超高層建物並びに特定大規模建物は、不特定多数の人が利用するなど（  84　）が発生した場合の影響が大きい。,2年に1回,1年に1回,特定多数,不測の事態,予測の事態,不特定多数,3年に1回,1月に1回,,不測の事態
開栓は、お客さまとガス事業者との（  85　）のスタートである。,使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,ガス供給・取引
開栓は、はじめて都市ガスをお使いいただくお客さまも多いことから、（  86　）を行う。,使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,一般周知
開栓は、一般周知に加え、個別周知対象機器・設備がある場合はそれに該当する周知及び（  87　）の事項等を盛り込んだ内容での周知を行う。,使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,ガス事業者独自
ガス事業者は、消費機器の使用に伴う（  88　）の高い消費機器を保有するお客さまに対して、開栓時および定められた頻度で排気ガスによる事故防止を目的に安全使用上に関する周知を実施する。,使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,事故発生率
ガス事業者は、消費機器の使用に伴う事故発生率の高い消費機器を保有するお客さまに対して、開栓時および定められた頻度で排気ガスによる事故防止を目的に（  89　）に関する周知を実施する。,使用契約,一般周知,点検業務,ガス供給・取引,お願い文,事故発生率,個別周知,安全使用上,ガス事業者独自,安全使用上
供給するガスの種類とガス機器が合っていないとき、（  90　）すること及び調整の必要性を周知する。,紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,不完全燃焼
ガス機器を安全に効率よく使用するための（  91　）、定期点検の必要性と、ガス警報器には有効期限があり、有効期限が過ぎる前に取り替えることを周知する。,紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,日常点検
ガス機器使用時は（  92　）に注意し、給排気設備については、異常の有無を時々点検する必要があることを周知する。,紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,換気
ガス警報器が鳴っているときやガス臭いと感じたときは、窓や扉を開け換気することやガス栓、メーターガス栓を閉め、電気のスイッチの入・切及び（  93　）を禁止し、ガス事業者へ連絡することを周知する。,紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,火気の使用
地震の場合は、まず身の安全を確保し、揺れがおさまってからガスの火を消すこと。地震後、ガスを使用する場合、ガスの臭いがしないか、ガス機器の（  94　）等異常がないか、屋内外の給排気設備の確認をすることを周知する。,紹介,換気,火気の使用,復帰操作,日常点検,周知,不完全燃焼,変形・破損,遮断装置,変形・破損
不完全燃焼防止機能なし開放燃焼式ガス瞬間湯沸器の使用上の注意は、ホースを延長して浴槽や洗濯機への給湯、洗髪など長時間の（  95　）は行わないこと。,連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,連続使用
浴室内設置不完全燃焼防止機能なしＣＦ式ふろがまの換気・給気上の注意は、お風呂を沸かしている時やシャワーを使っている時は、台所や浴室内の換気扇（レンジフード）を回さない。また、給気口や換気口を（  96　）こと。,連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,ふさがない
屋内設置不完全燃焼防止機能なしＦＥ式湯沸器の（  97　）のお願いは、電源プラグはコンセントに差し込まれているか確認すること。,連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,日常点検
屋内設置不完全燃焼防止機能なしＦＥ式湯沸器の日常点検のお願いは、お湯を出した時に（  98　）が回転しているか確認すること。,連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,排気ファン
不完全燃焼防止機能付き開放燃焼式ガス瞬間湯沸器が、使用中に火が消える、機器本体が異常に過熱しているような場合は使用を中止して（  99　）すること。,連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,修理を依頼
金網ストーブは、燃焼部分の変形などの現象で不完全燃焼を起こし、（  100　）になるおそれがあること。,連続使用,日常点検,安全管理,修理を依頼,ふさがない,単独使用,排気ファン,ふさぐ,一酸化炭素中毒,一酸化炭素中毒
