問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはどれか。ただし、（4）及び（5）のガスメーターは、ガス事業者がガスの使用者との取引のために使用するものであり、使用最大流量が毎時16㎥以下、使用最大圧力が4KPa以下及び口径250mm以下のものとする。,（１）水のたまるおそれのある導管には、適切な勾配を設けなければならない。,（２）道路に埋設される本支管（最高使用圧力が10KPa以上のポリエチレン管に限る。）には、掘削等による損傷を防止するための適切な措置を講じなければならない。,（３）ガスの使用場所である地下室等にガスを供給する導管には、その地下室等から十分離れた適切な場所に、危急の場合に当該地下室等へのガスの供給を地上から速やかに遮断することができる適切な装置を設けなければならない。,（４）ガスメーターは、ガスが流入している状態において、異常なガス圧力の上昇を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。,（５）ガスメーターは、ガスが流入している状態において、災害の発生するおそれのある大きさの地震動を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。ただし、一の団地内における供給地点の数が300未満の団地であって、当該団地にガスを供給する特定製造所に、250ガルを超える地震動を継続して検知したときに、当該団地に対するガスの供給を速やかに遮断する設備を設置した場合は、この限りでない。,,,,,（５）ガスメーターは、ガスが流入している状態において、災害の発生するおそれのある大きさの地震動を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。ただし、一の団地内における供給地点の数が300未満の団地であって、当該団地にガスを供給する特定製造所に、250ガルを超える地震動を継続して検知したときに、当該団地に対するガスの供給を速やかに遮断する設備を設置した場合は、この限りでない。
"""技術基準で規定されている漏えい検査及び導管の設置場所に関する次の記述のうち、いずれも正しいものの組合せははどれか。ただし、イ、ロ及びハについては、この導管は特定地下街等又は特定地下室等にガスを供給するものではなく、漏えい検査を行う区間に漏洩検知装置は設置されておらず、検査にあたっては導管等が設置されている場所に立ち入ることができるものとする。

イ　道路に埋設されている導管（ポリエチレン管を使用している部分を除く。）で最高使用圧力が低圧のものは、埋設の日以降6年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。

ロ　道路に埋設されている導管からガス栓までに設置されている導管は、屋外において、埋設されていない部分であっては、設置の日以降4年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。

ハ　導管の漏えい検査を、前回の検査の日から省令で定める期間を経過した日（以下、基準日という。）前4月以内の期間に行った場合にあっては、基準日において当該検査を行ったものとみなす。

二　最高使用圧力が中圧の導管であって、工場に設置される建物にガスを供給するものは、適切な自動ガス遮断装置又は適切なガス漏れ警報器の検知区域において、当該建物の外壁を貫通するように設置しなければならない。
ホ　導管を共同溝に設置する場合は、ガス漏れにより当該共同溝及び当該共同溝に設置された他の物件の構造又は管理に支障を及ぼすことがないよう導管に適切な措置を講じ、かつ、適切な措置が講じられた共同溝内に設置しなければならない。""",イ、ロ,イ、二,ロ、ハ,ハ、ホ,二、ホ,,,,,ハ、ホ
"""技術基準で規定されている導管及び整圧器に関する次の記述のうち、誤っているものはいくつあるか。

イ　ガス事業者の掘削により周囲が露出することとなった導管の露出している部分の両端は、地くずれのおそれがない地中に支持されていなければならない。

ロ　ガス事業者の掘削により周囲が露出することとなったガスの供給の用に供されている導管で、露出している部分が直管以外の管の接合であって、フランジ接合されているものには、抜出しを防止する適切な措置を講じなければならない。

ハ　整圧器の入口には、ガス遮断装置を設けなければならない。ただし、一の使用者にガスを供給するためのものにあっては、この限りでない。

二　ガス中の水分の凍結により整圧機能を損なうおそれのある整圧器には、凍結を防止するための措置を講じなければならない。

ホ　整圧器の制御用配管、補助整圧器その他の付属設備は、地震に対し耐えるよう指示されていなければならない。""",1,2,3,4,5,,,,,2
"""法令で規定されているガス用品及び「特定ガス消費機器の設置工事の監督に関する法律」に関する次の記述のうち、いずれも正しいものの組合せはどれか。

イ　「ガス用品」とは、主として一般消費者等がガスを消費する場合に用いられるすべての機械、器具及び材料（液化石油ガス器具を除く。）をいう。

ロ　「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、密閉燃焼式のガス瞬間湯沸器等がある。

ハ　ガス用品の製造、輸入又は販売の事業を行う者は、経済産業省令で定める技術上の基準に対する適合性についての表示が付されているものでなければ、ガス用品を販売し、又は販売の目的で陳列してはならない。

二　「特定工事」とは、特定ガス用品の設置又は変更の工事（経済産業省令で定める軽微なものを除く。）をいう。

ホ　液化石油ガス設備士である者は、ガス消費機器設置工事監督者の資格を有する者に該当する。""",イ、ロ,イ、二,ロ、ハ,ハ、ホ,二、ホ,,,,,ハ、ホ
"""法令で規定されている消費機器に関する周知及び調査、保安業務規程に関する次の記述のうち、正しいものはいくつあるか。

イ　ガス小売事業者は、その供給するガスに係る消費機器が経済産業省令で定める技術上の基準に適合しているかどうかを調査しなければならない。ただし、その消費機器を設置し、又は使用する場所に立ち入ることにつき、その所有者又は占有者の承諾を得ることができないときは、この限りでない。

ロ　ガス小売事業者は、その供給に係るガスによる災害が発生し、又は発生するおそれがある場合において、その供給に係るガスの使用者からその事実を通知され、これに対する措置をとることを求められたときは、速やかにその措置をとらなければならない。

ハ　経済産業大臣は、消費機器が経済産業省令で定める技術上の基準に適合していないと認めるときは、ガス小売事業者に対し、その技術上の基準に適合するように消費機器を修理し、改造し、又は移転すべきことを命ずることができる。

二　ガス小売事業者は、保安業務規程を変更しようとするときは、あらかじめ、その旨を経済産業大臣に届けなければならない。

ホ　ガス小売事業者及びガスの使用者は、保安業務規程を守らなければならない。""",1,2,3,4,5,,,,,2
"""消費機器の技術上の基準で規定されている次の記述のうち、いずれも正しいものの組合せはどれか。

イ　ガスの消費量が１２KWを超える屋内に設置するガス瞬間湯沸器であって、密閉燃焼式以外のものには、当該燃焼器に接続して排気筒を設けること。ただし、当該燃焼器の構造上その他の理由によりこれによることが困難な場合において、当該燃焼器のための排気フードを設けるときは、この限りでない。

ロ　自然排気式の燃焼器の排気筒の天井裏、床裏等にある部分は、燃焼器出口の排気ガスの温度が１００℃を超える場合は、金属材料で覆われていなければならない。

ハ　自然排気式の燃焼器の排気筒に接続する排気扇には、これが停止した場合に当該燃焼器を安全に制御し、燃焼を継続する措置を設けること。

二　燃焼器であって、建物区分のうち特定地下室等に設置するものには、告示で定める規格に適合する自動ガス遮断装置を告示で定める方法により設けること。

ホ　燃焼器は供給されるガスに適応したものであること。""",イ、二,イ、ホ,ロ、ホ,ロ、二,ハ、ホ,,,,,イ、ホ
気体の性質に関する次の記述のうち、誤っているものはどれか。,実在気体ｈ、低温の条件では、理想気体に近い性質を示す。,相変化に伴い吸収又は放出される熱を、潜熱という。,臨界温度より高い温度では、圧力をどれほど高くしても気体を液化させることはできない。,気体の粘土は、温度の上昇とともに増加する。,気体の粘土は、圧力によってほとんど変わらない。,,,,,実在気体ｈ、低温の条件では、理想気体に近い性質を示す。
温度２７℃、圧力５０KPaのメタンがはいっている容積４００㎥の容器Aと温度２７℃、圧力２０KPaのプロパンが入っている容積２００㎥の容器Bを接続した場合の混合気体全体の圧力（Kpa）として、最も近い値はどれか。ただし、いずれの気体も理想気体とし、容器AとBの接続語の混合気体の温度は２７℃と一定で、接続管の容積は無視できるものとする。,30,35,40,55,70,,,,,40
温度３００K、圧力１００KPaの気体１㎥を低圧膨張させて２㎥にした。このとき、気体がした仕事（KJ）として、最も近い値はどれか。,100,200,300,400,600,,,,,100
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,熱も仕事もエネルギーの一形態である。,等温、定圧で2種の理想気体を混合すると、エントロピーは減少する。,逆カルノーサイクルを用いたヒートポンプの成績係数（COP)は必ず1以上となる。,熱力学の第二法則によれば、熱は自然には低温度の物体から高温度の物体へうつることはできない。,理想気体を可逆的に断熱膨張させた場合、内部エネルギーは減少する。,,,,,等温、定圧で2種の理想気体を混合すると、エントロピーは減少する。
カルノーサイクルにおいて、高温熱源（７５０K)から熱Q1を吸収し、低温熱源（３００K)に熱Q2を放出する場合、放熱量と吸熱量の比（Q2/Q1)として、最も近い値はどれか。,0.1,0.4,1,2.5,7.5,,,,,0.4
化学反応と化学平衡に関する次の記述のうち、誤っているものはどれか。,一次反応において、反応物質の濃度が半分に減少するのに要する時間は、反応のどの時点から測っても同じである。,化学平衡とは、可逆反応において、順方向と逆方向の反応速度が等しくなった状態をいう。,ある反応温度で発熱反応を平衡状態になるまで進行させたのちに、反応温度を上げると、反応はさらに進行して、新たな平衡状態に達する。,ある反応の標準自由エネルギー変化がわかれば、平衡定数を計算により求めることができる。,水を電気分解すれば、水素と酸素を発生することができる。,,,,,ある反応温度で発熱反応を平衡状態になるまで進行させたのちに、反応温度を上げると、反応はさらに進行して、新たな平衡状態に達する。
電気化学反応に関する次の記述のうち、誤っているものはどれか。,物質の持つ自由エネルギーを直接電気エネルギーとして取り出すことができる。,電子を受け取る反応をカソード反応という。,標準電極電位が高い金属ほど、イオン化傾向は小さい。,電池を構成したとき、標準電極電位が高い方がプラス側の電極となる。,銅（Cu)の標準電極電位はマグネシウム（Mg)より低い。,,,,,銅（Cu)の標準電極電位はマグネシウム（Mg)より低い。
メタン５㎥を空気比１．５で完全燃焼させるのに必要な空気量（㎥）として、最も近い値はどれか。ただし、気体は標準状態（温度０℃、圧力101325Pa）とし、空気中の窒素と酸素の体積比は４：１とする。,15,30,50,75,90,,,,,75
メタン９０vol％、プロパン１０vol％からなる混合ガスの空気中における燃焼下限界（vol％）として、最も近い値はどれか。ただし、同条件における単体ガスの燃焼下限界は、メタン０.５vol％、プロパン２.０vol％とする。,3.5,3.7,3.9,4.3,4.7,,,,,4.3
気体容器内の圧力を測定するため、水を注入したマノメーターの一端を気体容器に接続し、別の一端を大気開放した。水位の差Hは５０ｍｍであった。気体容器内のゲージ圧力（Pa)として、最も近い値はどれか。ただし、水の密度は1000Kg/㎥、重力加速度は9.8m/ｓ２とする。,49,196,490,980,1960,,,,,490
管内をな流れる流体に関する次の記述のうち、誤っているものはどれか。,壁近くでは、流体が粘性の影響を受けて流速が急激に変化する。,流体の粘性や乱れによって、流れの下流の圧力が上流の圧力と比べ低くなることを圧力損失という。,配管の屈曲部で生じる圧力損失は、流れの方向を急激に変化させるより緩やかに変化させる方が小さい。,直円管内の流れでは、レイノルズ数がある値以上となると層流から乱流に遷移する。,乱流における管摩擦係数は、管壁面の粗さに依存しない。,,,,,乱流における管摩擦係数は、管壁面の粗さに依存しない。
熱交換器において、高温流体の入口温度は180℃、出口温度は50℃であった。また、低温流体の入口温度は20℃、出口温度は90℃であった。このときの高温流体の温度効率（％）として、最も近い値はどれか。,28,44,74,81,88,,,,,81
伝熱に関する次の記述のうち、誤っているものはどれか。,熱伝導での伝熱量の大きさは、温度勾配に比例する。,対流熱伝達には、自然対流や強制対流、相変化を伴う沸騰と凝縮等の様々な形態がある。,熱放射では、原子や分子のような物質を介さず真空中でも伝熱が可能である。,外部から入射してくる電磁波を完全に吸収する仮想の物体を、黒体という。,熱交換器では対流熱伝達が生じ、熱伝導は生じない。,,,,,熱交換器では対流熱伝達が生じ、熱伝導は生じない。
材料の破壊に関する次の記述のうち、誤っているものはどれか。,無限の繰り返し数に破断しないで耐えることのできる応力振幅を、破損限度と呼ぶ。,クリープは、応力が大きいほど、温度が高いほど、顕著に現れる。,応力腐食割れは、引張応力によって起きるが、圧縮応力によっては起こらない。,アルミニウム等の面心立方晶金属には、低温ぜい性が認められない。,溶接部近傍で生じる遅れ割れは、拘束応力や冷却速度が大きくなる大型構造物で発生しやすい。,,,,,アルミニウム等の面心立方晶金属には、低温ぜい性が認められない。
ある延性材料の試験片について、常温で引張試験を行ったところ、降伏点での引張応力が４５０MPaであった。この材料を許容応力９８MPaで使用するときの安全係数として、最も近い値はどれか。,0.2,0.5,2,5,10,,,,,0.2
"""都市ガスの原料及びその取り扱いに関す次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　メタンは常温では空気の約半分の重さであり拡散しやすいが、-82℃以下の低温では、空気より重いので注意を要する。

ロ　濃縮とは、貯蔵中のLNGにおいて外部からの入熱により沸点お低いメタンを主成分とするボイルオフガス（BOG)が発生することにより生じる現象である。

ハ　LNGを取り扱う配管等をクールダウンが生じないよう、時間をかける必要がある。

二　ガスが漏えいして発生した火災の場合は、ガスが漏えいした状態であっても早期に消火するほうが安全である。

ホ　LNGを取り扱う機器に対しては、低温靭性に優れた材料を用いる必要がある。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,イ、二
"""製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　回転式スクリュー型圧縮機は、圧力が変化すると、ガス流量も変動する。

ロ　仕切弁（ゲート弁）は、開閉時のストロークが小さく、開閉時期が短い。

ハ　うず巻ポンプは、他の型式に比較して軽量、構造が簡単で取り扱いが容易であるため、ガス製造所では多く採用されている。

二　円筒形LPG貯槽は、加圧式貯蔵法に分類され、比較的小容量の貯槽として最も経済的であるため広く使用されている。

ホ　エアフィン式気化器は、運転費が低廉でベースロード用として使用されるが、長時間運転すると空気中の水分が伝熱管の表面に氷となって付着し、連続運転時間に制約が生ずる。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""製造設備の電気設備及び計装設備に関する次の記述のうち、いずれも正しいものの組合せはどれか。

イ　PID制御におけるD動作とは、P動作により生じた偏差を時間的に積分してこの値がゼロのなるよう修正するものである。

ロ　カスケード制御とは、あるプロセス量とそれ以外のプロセス量を、ある一定の比率に保つように制御する方式をいう。

ハ　安全増防爆構造とは、電気機械器具を構成する部分に発生する火花、アーク又は熱が、ガス又は蒸気に点火するおそれがないことが点火試験等により確認された構造のことである。

二　電気使用場所における使用電圧が低圧の電路の電線相互間及び電路と大地の間の絶縁抵抗は、３００Vを超える場合に０.４MΩ以上でなければならない。

ホ　電気事業法における事業用電気工作物に該当する電気設備を設置する者は、電気事業法に基づく保安規程の作成、電気主任技術者の選任などを行い、製造所における自主保安体制を確立しなければならない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,二、ホ
"""都市ガスの熱量調整、燃焼性管理及び熱量測定に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　燃焼速度は、ガス組成、空気比等の条件により変化する値であり、どのガスでも組成に応じて、ある空気比のときに最大となる。この値を最大燃焼速度（MCP)という。

ロ　ウォッベ指数（WI)は、ガス機器ノズルの開度調整に必要な指数であり、ガスの総発熱量に比例、比重の平方根に反比例する。

ハ　ガスクロマトグラフの水素炎イオン化検出器（FID)は、水素炎中においてカラムで分離された有機化合物成分が燃焼するときに電極間に発生する電圧を検出する。

二　ガスクロマトグラフでは、クロマトグラムのそれぞれのピークの面積を、同一条件下で得られる混合標準ガス又は純ガスのピークの面積と比較し、各成分を定量する。

ホ　LPGを用いて増熱し熱量を調整する場合、LPGの燃焼速度は比較的速いため、WI=MCP図で、混合ガスの燃焼性の範囲を確認する。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""下記は、都市ガスの付臭方式の特徴をまとめたものである。（イ）～（ハ）に当てはまる語句の組合せとして最も適切なものはどれか。

付臭方式　　　　　　　　（イ）　　（ロ）　　（ハ）

適正な処理能力　　　　　　小　　　小～中　　中～大

混合付臭剤使用の適否　　 不適※　　   適　　　　適

建設費　　　　　　　　　　小　　　　中　　　　大

設置面積　　　　　　　　　中　　　　中　　　　大

　　　　　　　　　　　　※沸点が近い臭物質を混合した付臭剤はこの限りではない。""",（イ）滴下注入式　（ロ）蒸発式　（ハ）ポンプ注入式,（イ）滴下注入式　（ロ）ポンプ注入式　（ハ）蒸発式,（イ）蒸発式　（ロ）滴下注入式　（ハ）ポンプ注入式,（イ）蒸発式　（ロ）ポンプ注入式　（ハ）滴下注入式,（イ）ポンプ注入式　（ロ）滴下注入式　（ハ）蒸発式,,,,,（イ）蒸発式　（ロ）滴下注入式　（ハ）ポンプ注入式
