問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
整圧器に関する次の記述のうち、誤っているものはどれか。,圧力上昇防止装置は、整圧器の故障により、二次側の圧力が異常に上昇することを防止するために用いられる。,直動式整圧器におけるメインバルブシートの不具合により、二次圧力が異常上昇した。,整圧器能力不足により、二次圧力が異常低下した。,フィルターのダスト類の詰りにより、二次圧力が異常低下した。,直動式整圧器におけるメインバルブへのダスト類のかみ込みによる締め切り不良により、二次圧力が異常低下した。,,,,,直動式整圧器におけるメインバルブへのダスト類のかみ込みによる締め切り不良により、二次圧力が異常低下した。
ガスメーターに関する次の記述のうち、誤っているものはどれか。,マイコンメーターはメーターに流れるガスの流量を監視し、あらかじめ設定した条件によって異常と判定した場合、自動的にガスを遮断する機能を備えている。,使用最大流量が16㎥/hのガスメーターの検定有効期間は、検定を受けた翌月1日から起算して10年である。,ガスメーターが計量法の規定による検定を受ける際の検定公差は、流量によらず±1.5%である。,"ガスメーターとしての必要条件の一つに、小型で容量が大きいことがある。
",ガスメーターの種類のうち超音波式は、流量を推測計量するものである。,,,,,ガスメーターが計量法の規定による検定を受ける際の検定公差は、流量によらず±1.5%である。
口径400mmの鋼管を用い、長さ50mで両端固定された架管を冬期（管体温度は-10℃）に設置することになった。夏期に架管全体の温度が40℃になるときに生じる応力を、架管途中に設けた伸縮継手で対処する場合、設計変位量（mm)として最も近い値はどれか。ただし、導管の線膨張係数は1.2×10⁻⁵ （1/℃）、内圧は0.3（MPa）、 ヤング率は2.1×10⁵（N/㎟）とする。,9,24,30,40,126,,,,,30
腐食と防食に関する次の記述のうち、誤っているものはどれか。,建物に引き込まれた配管は、ミクロセル腐食の原因となるコンクリートに接触する機会が多いため、一般に埋設配管部近くの架空配管部に絶縁継手を設置する。,防食設備の点検は、雨期等の土壌の湿潤期や電気鉄道の運行時等、防食状況の悪い時期や時間帯を選んで行うことが望ましい。,電解質中の鉄とマグネシウムを接続すると、自然電位がプラス側の鉄がカソードとなり、マグネシウムがアノードとなる。,管対地電位の測定では、照合電極は通常、飽和硫酸銅電極が用いられ、散水で土壌等との接地抵抗を下げて設置する。,選択排流法、 強制排流法のいずれの方式も、他の金属構造物への干渉及び過防食を考慮する必要がある。,,,,,建物に引き込まれた配管は、ミクロセル腐食の原因となるコンクリートに接触する機会が多いため、一般に埋設配管部近くの架空配管部に絶縁継手を設置する。
導管の工事に関する次の記述のうち、誤っているものはどれか。,電気防食を施した鋼管の切断にあたっては、火花が出ないように電気防食施設の電源を切っておき、さらに切断予定箇所の両端を短絡させる。,導管工事の着工準備にあたっては、資機材に不足のないように確認するとともに、掘削機械、ポンプ、転圧機、保安設備等の整備・点検を行う。,酸素欠乏のおそれのある場所において作業を行う場合は、異常時に直ちに応急措置及び関係者への通報ができるよう作業を2人以上で行う。,溶接部等の放射線透過試験を行う場合は、非破壊試験技術者を選定しなければならない。,"非開削工法の特徴の一つは、路上工事の縮減により交通への影響を低減できることである。
",,,,,溶接部等の放射線透過試験を行う場合は、非破壊試験技術者を選定しなければならない。
"""溶接と非破壊試験に関する次の記述のうち、いずれも正しいものの組合せはどれか。

（イ）被覆アーク溶接棒の心線は、大気中に放置すると水分を吸収し、 ブローボール等の欠陥の原因となる。

（ロ）溶接施工法は、溶接事業所又は工場ごとに確認を受けなければならない。

（ハ）被覆アーク溶接とは、溶接棒と母材との間にアークを発生させ、その熱によって溶接棒のみを溶かすことにより溶接を行うものである。

（二）磁粉探傷試験は、表面付近のきずの発見法として、非常に簡便であり、表面から数mm以内のきずの高さを容易に測定できる。

（ホ）本開先不良は、溶込み不良や割れ等の原因となる。""",イ、ハ,イ、ホ,ロ、二,ロ、ホ,ハ、二,,,,,ロ、ホ
"""ガス導管の維持管理に関する次の記述のうち、いずれも正しいものの組合せはどれか。

（イ）支管供給管一括採水装置は、初期採水は強力なバキューム圧を発生するエジェクターを使用し、後期採水はピグを使用し管内の水たまりを移動させ、完全に排水させる。

（ロ）スプレーシール工法は、ガス栓等からシール剤を噴射することで管内面に膜を形成し、腐食漏えい箇所を修理する工法である。

（ハ）水素炎イオン化式ガス検知器は、水素炎の中に炭化水素が入ると、炎の電気伝導度が増大する現象を利用したもので、H2, CO等は検出できない。

（二）マッピングシステムは、地図情報、本支管等設備の位置や管理情報（口径、管種等）、地域管理情報をレイヤーに区分しデータベース化したシステムであり、様々な業務に活用できる。

（ホ）パイプロゲーターは、誘導法の方が直接法より精度的に優れている。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,ハ、二
"""地震により低圧導管の供給を停止した地域の復旧作業の基本フローとして最も適切なものはどれか。

　　A：復旧ブロック化
　　B：本支供灯外内管のエアパージ 
　　C：供給管切断 
　　D：灯内内管の漏えい検査・修理 
　　E：本支供灯外内管のテスト昇圧 
　　F：本支供灯外内管の差水箇所修理・採水 
　　G：本支供灯外内管の漏えい調査・漏えい修理 """,閉栓→E→A→B→C→D→E→F→G→開栓,閉栓→A→C→F→E→G→E→B→D→開栓,閉栓→A→C→F→B→E→G→E→D→開栓,閉栓→B→A→C→F→E→G→E→D→開栓,閉栓→E→G→F→A→C→E→B→D→開栓,,,,,閉栓→A→C→F→E→G→E→B→D→開栓
A点からB点にガスを供給している低圧導管ABにおいて、 A点の圧力は2.3kPa、B点の圧力は2.2kPaであった。今、AB間の流量を2倍にした場合、A点の圧力を2.3kPaのままとすると、B点の圧力(kPa)として最も近い値はどれか。,2.1,2,1.9,1.8,1.7,,,,,1.9
整圧器に関する次の記述のうち、誤っているものはどれか。,ハウスレギュレーターは、一般に不純物除去装置と圧力上昇防止装置が一体化されている。,レイノルド式整圧器は需要家のガス使用量が減少すると低圧補助ガバナ(パイロット)の開度が減少し、 中間圧力が高くなるため、オキジャリーボール内のダイヤフラムを押し上げ る力が強くなる。,パイロット式整圧器について、最低一次圧力と最高二次圧力の差圧が整圧器の作動最小差圧よりも大きくなるように選定する。,大規模地区で使用される整圧器は、一般に負荷変動が大きいため、特に流量の変化に対する応答の敏速性と安定性の両方の特性が要求される。,フィッシャー式整圧器の二次圧異常上昇の原因として、メインバルブへのダストかみ込みによる締め切り不良が考えられる。,,,,,大規模地区で使用される整圧器は、一般に負荷変動が大きいため、特に流量の変化に対する応答の敏速性と安定性の両方の特性が要求される。
マイコンメーターに関する次の記述のうち、誤っているものはどれか。,圧力スイッチは、金属ダイヤフラムによる差圧検知方式でガス圧力のかかった状態ではOFF(通電停止)、ガス圧力が異常低下するとON(通電)になる構造である。,感震器は、少々の傾斜状態でも自動水平調整を行い、リセット不要な球振動式感震器である。,内管での少量漏れや口火を連続使用した場合等、30日間連続してガスが流れ続けた場合、ガス漏れ警報を表示する機能がある。,マイコンメーターの上流側ガス供給圧力が0.2kPaを下回った場合、遮断する機能がある。,Qmaxが25m/h以上のマイコンメーターでは、上ケース上部に、コントローラー、圧力スイッチ、遮断弁等を内蔵したコントロールボックスを取り付けている。,,,,,Qmaxが25m/h以上のマイコンメーターでは、上ケース上部に、コントローラー、圧力スイッチ、遮断弁等を内蔵したコントロールボックスを取り付けている。
口径300mmの鋼管を用い、長さ40mで両端固定された架管が冬の時期(管体温度は-10℃)に設置された。 夏期にこの架管全体の温度が40℃になったときに生じる応力を、架管途中に設けた伸縮継手で対処すると、設計変位量 (mm) として最も近い値はどれか。ただし、導管の線膨張係数は1×10 -5 (1/℃)、内圧は0.3MPa、ヤング率は2×10⁵N/㎟とする。,5,10,20,30,40,,,,,20
導管の腐食と防食に関する次の記述のうち、誤っているものはどれか。,導管の防食方法には、塗覆装による措置、電気防食による措置、絶縁による措置等がある。,鋳鉄管と鋼管が電気的に接続されている場合、鋳鉄管がアノードとなり腐食する傾向がある。,管対地電位とは、土壌、コンクリート等の電解質に設置した照合電極に対する導管の電位である。,防食設備の点検は、雨季等の土壌の湿潤期や電気鉄道の運行時等、防食状況の悪い時期や時間帯を選んで行うことが望ましい。,外部電源法は、導管の塗装の抵抗が低い場合や防食区間が長い場合に適している。,,,,,鋳鉄管と鋼管が電気的に接続されている場合、鋳鉄管がアノードとなり腐食する傾向がある。
導管の工事に関する次の記述のうち、正しいものはどれか。,酸素欠乏のおそれのある場所で作業を行う場合は、作業開始前に酸素濃度計により作業場所の空気中の酸素濃度が18%以上であることを確認し、その測定結果の記録を3年間保存しなければならない。,気密試験において、試験圧力は必ず最高使用圧力の1.1倍以上でなければならない。,フレキ管を屋外の露出配管で使用する場合は、2m以内の間隔で支持固定する。,ポリエチレン管のヒートフュージョン接合では、継手に設けられたインジケーターにより融着状態を確認する。,埋設後に埋設管の位置確認を可能とすべく、必要に応じて、標識シートを管に沿わせて設置する。,,,,,気密試験において、試験圧力は必ず最高使用圧力の1.1倍以上でなければならない。
溶接と非破壊試験に関する次の記述のうち、正しいものはどれか。,被覆アーク溶接棒の被覆剤(フラックス)には、溶接金属の凝固・冷却の速度を速める効用がある。,溶込み不良とは、溶接金属と母材又は溶接金属同士が溶着していない状態をいう。,放射線透過試験において、試験体の内部にきずがある場合、放射線フィルムで露光すると、きずのある部分は健全部より濃度が薄くなる。,ティグ溶接は、溶接ワイヤに被覆剤(フラックス)を含まないため、スラグが発生しない。,浸透探傷試験は、表面に開口したきずに適用でき、鋼のような強磁性体のみに使用できる。,,,,,ティグ溶接は、溶接ワイヤに被覆剤(フラックス)を含まないため、スラグが発生しない。
導管の維持管理に関する次の記述のうち、誤っているものはどれか。,中圧管の腐食による漏えい修理には、金属テープによる外面シールが適用できる。,樹脂ライニング系の更生修理工法は、本支管及び供内管の腐食漏えい予防として有効である。,半導体式ガス検知器は、検知感度が高いことから、地中埋設管のガス漏えい調査に適している。,サンドブラストによる供給支障は、大量の水道水がガス管内に流入し続けることがあるので、広範囲に至る場合がある。,需要家等からのガス漏えい等の通報に対しては、その内容に応じて、一般出動、緊急出動及び特別出動に区分し、適切な処理を行う。,,,,,中圧管の腐食による漏えい修理には、金属テープによる外面シールが適用できる。
地震対策に関する次の記述のうち、誤っているものはどれか。,設計地盤変位は、標準設計地盤変位量に管種と埋設条件の組合せによる補正係数と地域別の補正係数を掛けて求める。,断層の中で、最近の地質時代に繰り返し活動し、将来も活動することが推定される断層を活断層といい、地震の引き金となり得るものである。,二次災害を防止するとともに、供給停止地区の極小化を図るため、導管網を事前に適正な規模のブロックに分割しておく。,供給停止後、復旧までに相当の日数を要することが予想される場合は、需要家の不安を取り除くため、復旧の見通し等について積極的に広報活動を行う。,SI値は、地震による一般的な建物(ビル)の揺れの大きさを評価する指標であり、加速度の単位カイン(cm/s²)で表される。,,,,,SI値は、地震による一般的な建物(ビル)の揺れの大きさを評価する指標であり、加速度の単位カイン(cm/s²)で表される。
A点からB点に低圧のガスを供給している導管ABにおいて、A点の圧力は2.2kPa、B点の圧力は2.1kPaであった。今、B点に供給する流量を2倍にした場合、A点の圧力を2.2kPaのままとすると、B点の圧力(kPa)として最も近い値はどれか。ただし、高低差は考慮しないものとする。,2,1.9,1.8,1.7,1.6,,,,,1.8
整圧器に関する次の記述のうち、正しいものはどれか。,整圧器を大規模地区で使用する場合には、できるだけオフセット及びロックアップが小さい動特性の優れた整圧器を選定する。,直動式整圧器は、二次圧力を駆動圧力としているため、作動最小差圧を考慮する必要がある。,流量特性とは、定常状態における流量と二次圧力の関係をいう。,流量がゼロになるとメインバルブは締切状態になる。この時、二次圧力は基準状態よりも高くなるが、この締切圧力と基準二次圧力との差をシフトという。,パイロット式整圧器は、パイロットで二次圧力の小さな変化を増幅してメインガバナーを作動させるため、ロックアップは小さくなる。,,,,,パイロット式整圧器は、パイロットで二次圧力の小さな変化を増幅してメインガバナーを作動させるため、ロックアップは小さくなる。
ガスメーターに関する次の記述のうち、正しいものはどれか。,使用最大流量が16m/hのガスメーターの検定有効期間は、検定を受けた翌月1日から起算して7年である。,マイコンメーターには、内管での少量漏れや口火を連続使用した場合等、30日間連続してガスが流れ続けた場合、ガス漏れ警報を表示する機能がある。,部品の摩耗等により、器差が変化し計量法に規定された使用公差を外れる故障は感度不良である。,クランク軸のさび付き等により、ガスがメーターを通過できない故障は不動である。,メーター出口側の圧力変動が著しくなり、ガスの燃焼状態が不安定になる故障は通り抜けである。,,,,,マイコンメーターには、内管での少量漏れや口火を連続使用した場合等、30日間連続してガスが流れ続けた場合、ガス漏れ警報を表示する機能がある。
外径150mm、管厚5mmの鋼管が内圧0.5MPaを受けるときに生じる軸方向の応力(N/mm²)として最も近い値はどれか。,3.5,3.8,7,7.5,14,,,,,3.5
防食と腐食に関する次の記述のうち、誤っているものはどれか。,導管の防食方法には、塗覆装による措置、絶縁による措置、電気防食による措置等がある。,他防食施設からの干渉による電食は、近接する埋設導管に他防食施設から防食電流の一部が流入し、流出部において発生する腐食である。,鋳鉄管と鋼管が電気的に接続されている場合、鋼管がアノードとなり腐食する傾向がある。,土壌中に埋設された金属材料の表面は、表面状態、組成、環境等のわずかな違いにより、マクロセルが形成され、比較的均一な腐食を引き起こす。,選択排流法は、埋設導管と電気鉄道のレールを電気的に接続し、導管に流れる電流をレールに帰流させる方法である。,,,,,土壌中に埋設された金属材料の表面は、表面状態、組成、環境等のわずかな違いにより、マクロセルが形成され、比較的均一な腐食を引き起こす。
"""導管の工事に関する次の記述のうち、正しいものはいくつあるか。

イ　ポリエチレン管を屋外に保管する際に、紫外線による管材の劣化を防止するため、シートで覆った。

ロ　ポリエチレン管のエレクトロフュージョン (EF) 接合には、 バット融着、 ソケット融着、サドル融着の3種類がある。

ハ　ポリエチレン管は、口径にかかわらずスクイズオフ工具によりガス遮断を行うことができる。

ニ　屋内の露出部に被覆鋼管を用いる場合、管材料の使用温度範囲を超える熱の影響を受けるおそれのある場所に配管してはならない。

ホ　フレキ管で配管する際に、管が釘打ち等によって損傷するおそれがある場所に、ゴムシートを巻いて防護した。""",1,2,3,4,5,,,,,2
溶接と非破壊検査に関する次の記述のうち、誤っているものはどれか。,被覆アーク溶接棒の心線は、大気中に放置すると水分を吸収し、ブローホール等の欠陥の原因となる。,放射線透過試験において、フィルムで露光すると、きずのある部分は健全部より濃度が濃くなる。,融合不良とは、溶接金属と母材又は溶接金属同士が溶着していない状態をいう。,スラグ巻込みとは、スラグが溶接金属に残留したものをいう。,アンダーカットとは、表面における溶接金属と母材の境界の凹みをいう。,,,,,被覆アーク溶接棒の心線は、大気中に放置すると水分を吸収し、ブローホール等の欠陥の原因となる。
導管の維持管理に関する次の記述のうち、誤っているものはどれか。,半導体式ガス検知器は、低濃度での感度が非常に高いため、微量ガスの検知に有効である。,低圧導管の地震時漏えい予防として、反転シール系の更生修理工法を施した。,地中探査レーダーは、地中に向けて電磁波を入射し、埋設管で反射した電磁波を測定することにより、埋設位置を探査する方法である。,中圧導管の腐食による漏えいが発生したので、金属テープによる外面シールを施した。,低圧導管のねじ継手から漏えいが発生したので、恒久修理として樹脂ライニング系の更生修理工法を施した。,,,,,中圧導管の腐食による漏えいが発生したので、金属テープによる外面シールを施した。
地震対策に関する次の記述のうち、誤っているものはどれか。,中・低圧導管では、配管系の地盤変位吸収能力と設計地盤変位とを比較することにより耐震性を評価する。,供給停止判断には、二次災害の防止を最優先とした地震発生直後の第1次緊急停止判断と、経時的に得られる被害情報や緊急時対応能力等に応じて決定する第2次緊急停止判断がある。,SI値は地震による一般的な建物(ビル) の揺れの大きさを評価する指標であり、機械的接合鋼管の被害との相関が高い。,移動式ガス発生設備のうち、空気吸入式(PA式)は、大気中の空気とLPG を混合して都市ガスと同グループのプロパンエアーガスを発生させる。,中圧導管の復旧と低圧導管の復旧は連携をとる必要があり、中圧導管の復旧は低圧導管への送出源となるラインを優先する。,,,,,SI値は地震による一般的な建物(ビル) の揺れの大きさを評価する指標であり、機械的接合鋼管の被害との相関が高い。
"""A点からB点にガスを200m3/h供給している低圧導管AB (口径20cm、延長200m) がある。このとき、A点の圧力PAは2.3kPa、B点の圧力PBは2.1kPaであった。

今、AB間の中間点(A点から100m)のC点にもガスを200m3/h供給することになった。A点の圧力PAが2.3kPaのとき、B点の圧力PB (kPa) として最も近い値はどれか。ただし、高低差は考慮しないものとする。""",1.5,1.6,1.7,1.8,1.9,,,,,1.8
整圧器に関する次の記述のうち、誤っているものはどれか。,パイロット式整圧器は、一次圧力と二次圧力の差圧が一定以上確保されない場合、作動できなくなる。,動特性は、負荷変動の大きいところに使用される整圧器にとって重要な特性である。,流量特性線図とは、流量とメインバルブ開度(ストローク)の関係を表したものをいう。,圧力上昇防止装置は、整圧器の故障により、二次側の圧力が異常に上昇することを防止するために用いられる。 ,特定の流量時における二次圧力を基準状態としたとき、流量が増大するに従い二次圧力は基準状態の圧力より低下する。このずれのことをシフトという。,,,,,特定の流量時における二次圧力を基準状態としたとき、流量が増大するに従い二次圧力は基準状態の圧力より低下する。このずれのことをシフトという。
ガスメーターに関する次の記述のうち、正しいものはどれか。,回転子式ガスメーターは、回転子の回転数から流量を推測計量する。,口径が250mmを超えるガスメーターは、計量法の規定による検定の対象外である。,オリフィス式ガスメーターは、オリフィス前後の圧力差を測定することにより、流量を容積計量する。,計量法の規定により、使用最大流量が25m3/hの検定対象ガスメーターの検定有効期間は10年である。,マイコンメーターは、内管の少量漏れや口火を連続使用した場合等、30日間連続してガスが流れ続けた場合、遮断する。,,,,,口径が250mmを超えるガスメーターは、計量法の規定による検定の対象外である。
外径200mm、管厚5mmの導管が内圧0.5MPaを受けるときに生じる円周方向の応力(N/mm2)として最も近い値はどれか。 ,4.5,5,9.5,10,19,,,,,9.5
腐食と防食に関する次の記述のうち、誤っているものはどれか。,鋳鉄管と鋼管が電気的に接続されている場合、異種金属接触によるマクロセル腐食のため、鋼管がアノードとなって腐食する。,ミクロセル腐食とは、金属表面においてアノードとカソードの部位が刻々と変化するタイプの腐食で、全面腐食となる。,導管における設計上の防食電位は、安全を考慮して、管対地電位を-1000mV(飽和硫酸銅電極基準)程度とすることが望ましい。,流電陽極法とは、導管よりも自然電位がプラス側の金属を接続することで、導管へ防食電流を流入させ腐食を防止する方法である。,建物に引き込まれた配管は、マクロセル腐食の原因となるコンクリートに接触する機会が多いため、一般に埋設配管部近くの架空配管部に絶縁継手を設置する。,,,,,流電陽極法とは、導管よりも自然電位がプラス側の金属を接続することで、導管へ防食電流を流入させ腐食を防止する方法である。
導管の工事に関する次の記述のうち、誤っているものはどれか。,導管の接合のうち、機械的接合は主として鋳鉄管又は口径80mm以下の小口径の鋼管の接合に使用される。,ポリエチレン管の接合である融着には、ヒートフュージョン接合とエレクトロフュージョン接合がる。 ,架管の施工において、橋台等の壁貫通部にスリーブを設け、スリーブとガス管の隙間には弾力性のあるシール材を隙間なく充てんした。 ,気密試験の方法として、ガス濃度が0.2%以下で作動するガス検知器を使用し、ガス検知器が作動しないことにより判定した。 ,工事着手前に、道路管理者から道路使用許可を取得した。,,,,,工事着手前に、道路管理者から道路使用許可を取得した。
"""溶接と非破壊試験に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 

イ　被覆アーク溶接の被覆剤(フラックス)には、溶接金属の凝固・冷却の速度を緩やかにし、上向きその他種々の位置の溶接を容易にする効用がある。

ロ　ティグ溶接は、スラグでアーク及び溶融池を完全にシールドしているため、不純物が混入せず、高品質な溶接が得られる。 

ハ　溶接の形状不良には、ビード形状の不良、オーバーラップ、クレーター等がある。

ニ　放射線透過試験は、きずの形状がわかり易く直観性があるが、 フィルムの現像等のため、試験結果の確認までに時間がかかる。

ホ　導管のすみ肉溶接部における開先形状は、V,U形がよく用いられる。""",イ、ロ,イ、ハ,ロ、ホ,ハ、ニ,ニ、ホ,,,,,ロ、ホ
"""導管の維持管理に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 

イ　半導体式ガス検知器は、半導体の電導度が雰囲気ガスの燃焼によって変化することを利用したもので、 検知可能なガスは可燃性であることに限定される。 

ロ　鋼製修理バンド工法とは、管体の修理箇所に鋼製修理バンドを突合せ溶接により取り付ける工法である。 

ハ　敷地内の他工事対策の1つとして、ガス設備の資産区分、解体、改装時の注意事項等を記載したチラシ等を配付し需要家への注意喚起を図る。 

ニ　埋設部のガス漏えい箇所を早期に発見し適切な修理を行うことは、地下水による浸水予防 対策として有効である。 

ホ　更生修理工法施工済み導管についてモニタリングを実施し、 材料の耐久性を確認する。""",イ、ロ,イ、ハ,ロ、ホ,ハ、ニ,ニ、ホ,,,,,イ、ロ
地震対策に関する次の記述のうち、誤っているものはどれか。,中・低圧導管では、配管系の地盤変位吸収能力と設計地盤変位とを比較することにより耐震性を評価する。 ,マイコンメーターには、ガスメーターの設置場所において250ガルを超える地震動を継続 して検知した場合に遮断する機能がある。,SI値は、地震による一般的な建物の揺れの大きさを評価する指標であり、速度の単位カイン(cm/s)で表わされる。,地震対策は、基本的に設備対策、緊急対策、復旧対策の3つの対策で構成されている。,移動式ガス発生設備のうち、空気吸入式(PA式)は、ボンベに圧縮・充てんされた熱量調整・付臭済みの天然ガスを供給するものである。 ,,,,,移動式ガス発生設備のうち、空気吸入式(PA式)は、ボンベに圧縮・充てんされた熱量調整・付臭済みの天然ガスを供給するものである。 
