問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
消費機器の技術上の基準で規定されている次の記述のうち、誤っているものはどれか。,自然排気式の燃焼器の排気筒の天井裏、床裏等にある部分は、燃焼器出口の排気ガスの温度が100°Cを超える場合は、金属材料で覆わなければならない。 ,自然排気式の燃焼器であって、技術上の基準により排気筒を設けるものは、当該排気筒の有効断面積以上の有効断面積を有する給気口その他給気上有効な開口部を設けた室に設置しなければならない。,屋内に設置するガスの消費量が12kWを超えるガス衣類乾燥機には、排気筒を設けなければならない。ただし、当該燃焼器の構造上その他の理由によりこれによることが困難な場合において、当該燃焼器のための排気フードを設けるときは、この限りでない。,屋内に設置する密閉燃焼式ガスふろがまの給排気部の先端は、障害物又は外気の流れによって給排気が妨げられない位置になければならない。 ,建物区分のうち超高層建物（住居の用に供される部分については、調理室に限る。)に設置される燃焼器(屋外に設置するものを除く。)には、自動ガス遮断装置を適切に設け、又は告示で定める規格に適合するガス漏れ警報器を告示で定める方法により設けなければならない。 ,,,,,自然排気式の燃焼器の排気筒の天井裏、床裏等にある部分は、燃焼器出口の排気ガスの温度が100°Cを超える場合は、金属材料で覆わなければならない。 
実在気体の臨界現象に関する次の記述のうち、誤っているものはどれか。,臨界温度及び臨界圧力を超えた温度及び圧力のガスを超臨界ガスと呼ぶ。,気体が等温で圧縮され、液化が始まり、気体と液体が共存するときの圧力を飽和蒸気圧という。 ,メタンの臨界温度は約-83℃であるから、メタンを液化するにはこの温度以下にする必要がある。 ,二酸化炭素は臨界温度が比較的高いので、常温で圧力を加えるだけで液化する。,臨界温度より高い温度の気体であっても、圧力を上げれば液化することができる。,,,,,臨界温度より高い温度の気体であっても、圧力を上げれば液化することができる。
プロパン22kgを27℃、100kPaで完全に気化させた場合の体積(m3)として、最も近い値はどれか。ただし、プロパンは理想気体とし、気体定数は 8.3J/(mol・K)とする。,10,12,16,20,34,,,,,12
メタンとプロパンをある体積比で混合したところ、同一温度、同一圧力の空気と密度が等しくなった。メタンとプロパンの体積比として、最も近い値はどれか。ただし、空気は窒素と酸素が体積比4：1で混合したものとし、物質はいずれも理想気体とする。,"""50:50""","""54:46""","""60:40""","""70:30""","""82:18""",,,,,"""54:46"""
カルノーサイクルにおいて、次の温度条件のうち、熱効率が最大になるものはどれか。,高温熱源　　1000K　　低温熱源　　400K,高温熱源　　1000K　　低温熱源　　500K,高温熱源　　1200K　　低温熱源　　300K,高温熱源　　1200K　　低温熱源　　500K,高温熱源　　1400K　　低温熱源　　500K,,,,,高温熱源　　1200K　　低温熱源　　300K
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,熱も仕事もエネルギーの一形態である。,カルノーサイクルを用いると、仕事は熱に、熱は仕事に完全に変えることができる。,等温、定圧で2種の理想気体を混合すると、エントロピーは増加する。,理想気体を可逆的に断熱膨張させた場合、気体の温度は低下する。,断熱系における理想気体の自由膨張では、気体の温度は変化しない。,,,,,カルノーサイクルを用いると、仕事は熱に、熱は仕事に完全に変えることができる。
化学反応と化学平衡に関する次の記述のうち、誤っているものはどれか。,"電気化学反応は、化学反応を電子の授受を介して行うもので、電子を放出する反応をアノード
反応という。 ",燃焼では、発熱を伴う激しい物質の化学反応が起こる。,ルシャトリエの原理は、平衡状態にある反応系で、その状態に対して何らかの変動を加えたとき、平衡が移動する方向を示す原理のことである。,酸化反応は、対象とする物質が電子を受け取る化学反応のことである。,一次電池とは、直流電力の放電のみができ、充電ができない電池のことである。,,,,,酸化反応は、対象とする物質が電子を受け取る化学反応のことである。
"""次の反応の標準反応熱 (kJ/mol) として、最も近い値はどれか。 
CO2 + 4H2 → CH4 + 2H2O
ただし、すべての物質は気体状態とし、各成分の標準生成熱 (kJ/mol) は次の値とする。 
CH4 ： -75　　　CO2 ： -394　　　H2O ： -242　　　H2 ： 0 """,-165,-77,2,77,165,,,,,-165
水素2m3を空気6m3で完全燃焼させた。空気比として最も近い値はどれか。ただし、水素及び空気は標準状態 (0℃、101325Pa) とし、空気は窒素と酸素が体積比4：1で混合したものとする。,0.8,1,1.2,2.4,3,,,,,1.2
"""燃料の発熱量に関する次の記述について、(イ)～(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。 

発熱量の定義には、水蒸気の潜熱を含む場合の発熱量である  （イ）  と含まない場合の発熱量である  （ロ)  の二種類が設けられている。  (イ)  は  (ハ)  、  (ロ)  は  （ニ）  と呼ばれることもある。供給ガスの発熱量は一般に  （ホ）  で表す。""",（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）総発熱量 ,（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）真発熱量 ,（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）LHV 　　　（ニ）HHV 　　　（ホ）総発熱量 ,（イ）　真発熱量 　　　（ロ）総発熱量 　　　（ハ）LHV 　　　（ニ）HHV 　　　（ホ）真発熱量 ,（イ）　真発熱量 　　　（ロ）総発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）真発熱量 ,,,,,（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）総発熱量 
流体が内径0.1mの直円管内を流れている。平均流速が1m/sのとき、質量流量(kg/s)として最も近い値はどれか。ただし、流体の密度は1000kg/m3とする。 ,8,10,16,31,100,,,,,8
内径200mmの直円管の一端を円錐状に絞り内径100mmの直円管をつなげ、一定の流量のガスを流している。内径200mmの直円管部分における平均流速が1.0m/sのとき、内径100mmの直円管部分における平均流速(m/s)として、最も近い値はどれか。ただし、管内でガスの密度は一定とする。,0.25,0.5,2,4,8,,,,,4
平板の熱伝導に関する次の記述のうち、誤っているものはどれか。ただし、平板内の熱伝導率は一定とし、熱伝導は定常な状態とする。,伝熱量は、単位時間あたりに平板を通過するエネルギー量である。,平板を通過する熱流束は、単位面積あたりの伝熱量である。 ,平板を通過する熱流束は、両面の温度差に比例する。 ,平板を通過する熱流束は、平板の厚みに比例する。 ,平板を通過する熱流束は、平板の熱伝導率に比例する。 ,,,,,平板を通過する熱流束は、平板の厚みに比例する。 
平均熱伝導率2W/(m・K)、厚さ20cmの耐火レンガにおいて、高温側の表面の温度が800℃、熱流束が6kW/m2であるとき、低温側の表面の温度 (℃) として、最も近い値はどれか。,40,100,200,650,799,,,,,200
炭素鋼に関する次の記述のうち、誤っているものはどれか。,炭素鋼は、鉄に主な合金元素として炭素を含む鋼であり、少量の不純物を含んでいる。,炭素含有割合によって炭素0.30%以下は低炭素鋼、0.45%以上は高炭素鋼と呼ばれる。,引張強さが490MPa未満の炭素鋼が一般に用いられ、 490MPa以上の炭素鋼は高張力鋼と呼ばれる。,不純物としてリンは硬さや引張強さを増し、伸びを減らすが、延性-ぜい性の遷移温度を高める。,炭素鋼は炭素量が増加するに従い引張強さは減少し、伸びは増す。,,,,,炭素鋼は炭素量が増加するに従い引張強さは減少し、伸びは増す。
延性材料からなる円柱状の試験片に対し常温で引張試験を行った。降伏点での引張力が40000N、引張応力が200MPaであったとき、試験片の原断面積(m2)として、最も近い値はどれか。 ,2 × 10⁻⁵,2 × 10⁻⁴,4×10⁻⁴,8 × 10⁻⁴,2×10⁻³,,,,,2 × 10⁻⁴
"""都市ガスの原料に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 

イ　バイオガスは二酸化炭素や有害成分が含まれるため、都市ガス原料とするには精製する必要がある。 

ロ　軽質と重質の異種LNGを同じ貯槽に受け入れる場合、ロールオーバーの原因となる層状化を生じさせないよう注意深く受入方法を設定する必要がある。 

ハ　LNGポンプの運転においては、急激な圧力上昇や温度低下により、キャビテーションが発生しないように注意する。 

ニ　天然ガスの液化工程において行われる重質分除去は、低温部材として広く利用されるアルミニウムの腐食防止の観点から重要である。 

ホ　配管等をクールダウンする際は、配管下部と上部の温度差が大きくなることによりボーイングが生じないよう、時間をかけることが必要である。 """,イ、ロ,ロ、ハ,イ、ホ,ハ、ニ,ニ、ホ,,,,,ハ、ニ
LNG設備に関する次の記述のうち、正しいものはどれか。,常圧断熱式縦置円筒形貯槽は、内槽と外槽からなる金属二重殻構造であり、断熱効果を高めるため内槽と外槽の空間は断熱材が充てんされるとともに、高度の真空状態に保たれている。 ,遠心式BOG圧縮機は、圧力上昇及び所要動力が吸入ガスの質量比にほぼ比例し、一般に高圧で小容量のものに使用される。,直接熱交換型シェルアンドチューブ式気化器は、ランニングコストが低廉であるためLNG 1次受入基地のベースロード用として使用される。 ,逆止弁(チャッキ弁) は流体の流れを常に一定方向に保ち逆流を防止する機能を持つ弁で、直動式やパイロット式等がある。 ,LNG ローリー出荷設備において、LNG ローリーとLNG配管を接続するためには、ローディングアーム又はフレキシブルホースが用いられる。,,,,,LNG ローリー出荷設備において、LNG ローリーとLNG配管を接続するためには、ローディングアーム又はフレキシブルホースが用いられる。
製造設備の制御システムに関する次の記述のうち、誤っているものはどれか。,制御システムでは、システムへの不正アクセスによるトラブル等に伴うリスクを把握し、必要と判断するセキュリティ対策を行う。,ファイヤーウォール等の設置、不要なUSBポートやLANポートの閉そく、重要機器設置場所の錠や入退室管理装置の設置等、一旦セキュリティ対策を導入すれば、以降の対応は不要である。,セキュリティ対策で考慮すべき事項として、「情報の利用促進」と「セキュリティ確保」のバランス、「想定される損害」と「対策レベル」のバランスが挙げられる。 ,制御システムの信頼性を高める冗長化の方法として、CPUや電源ユニット、通信ネットワークの機能を対象に主機系と待機系を備える方法や、制御システム全体を二重化する方法がある。 ,制御システムの信頼性を高める方式のひとつである電磁リレーによるシーケンス制御回路方式は、インターロック回路やトリップ回路等の重要な制御系統で利用されている。 ,,,,,ファイヤーウォール等の設置、不要なUSBポートやLANポートの閉そく、重要機器設置場所の錠や入退室管理装置の設置等、一旦セキュリティ対策を導入すれば、以降の対応は不要である。
"""都市ガスの熱量調整と燃焼性、特殊成分の分析に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 

イ　導管中でガス温度が露点域になると、LPG等の液化によるガス発熱量の増加、導管の閉そく等が発生するため、露点の管理が重要である。 

ロ　ガスクロマトグラフは、気体試料の各成分の固定相に対する溶解性、吸着性が強いほど移動速度が速くなる性質を利用したものである。 

ハ　ガスクロマトグラフの水素炎イオン化検出器 (FID) は、有機化合物のほとんどを高感度に検出する。 

ニ　ガス事業法では、天然ガスとプロパンを混合したガスや、プロパンに空気を混入したガスは、特殊成分検査を免除されている。 

ホ 　特殊成分の分析方法であるイオンクロマトグラフ法は、全硫黄及びアンモニアの分析に使用できる。""",イ、ロ,イ、ホ,ハ、ニ,ロ、ニ,ハ、ホ,,,,,イ、ロ
"""都市ガスの付臭に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 

イ　付臭剤貯蔵タンクや注入装置等の付臭設備は、密閉した室内に設置することが望ましく、同室内はやや負圧にし、換気のために吸引した空気は活性炭で脱臭し排出する。 

ロ　付臭方式のうち、手動式滴下注入方式と蒸発方式は、流量の変動が少ない小規模の付臭に用いられる。 

ハ　パネル法は、あらかじめ適正に選定された臭気の判定者3名以上により、においの有無を判定し、 ガスの臭気濃度を求める方法である。 

ニ　FPD付ガスクロマトグラフ法で測定できる付臭剤成分は、テトラヒドロチオフェン(THT)、ターシャリーブチルメルカプタン(TBM)ジメチルサルファイド(DMS)等の有機硫黄化合物である。 

ホ　付臭剤は、極めて低い濃度でも特有の臭気が認められること、嗅覚疲労を起こしやすいこと等の要件を備えていることが必要である。 """,イ、ハ,イ、ニ,ロ、ニ,ロ、ホ,ハ、ホ,,,,,ハ、ホ
製造所の保安設備に関する次の記述のうち、誤っているものはどれか。,可燃性のガス又は液化ガスを通ずるガス工作物は、ボイラー等の火気を取り扱う設備までの最低限必要な距離が定められている。,遮断装置には、誤操作を防止し、かつ確実に操作することができる措置を講ずる必要がある。,気化装置には、液化ガスが液体のまま気化装置から先へ流出することを防止する逆流防止装置の設置が必要である。,フレアースタックは、発生するふく射熱が周囲に障害を与えないよう適切な措置を講ずる必要がある。,ガスホルダーや液化ガス用貯槽のガス又は液化ガスを送り出し、又は受け入れるために用いられる配管には、手動弁、遠隔操作弁及び緊急遮断装置等を設ける必要がある。,,,,,気化装置には、液化ガスが液体のまま気化装置から先へ流出することを防止する逆流防止装置の設置が必要である。
"""製造設備の建設及び操業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 

イ　LNGローリーの運行においては、気象条件や交通事情による不測の事態に対応できるように、LNG在庫確保や出荷元の複数化等の対策を事前に講じておくことが望ましい。

ロ　耐震設計を行う上で重要なことは、構造設計、安全設計、防災設計であり、防災設計とは地震時に異常が発生しても安全性を確保できるよう設計するものである。 

ハ　ガス製造能力に関係する設備の定期修理計画策定にあたっては、ガス製造計画や製造設備稼動計画をもとにして、ピーク時における最大必要能力を確保する必要がある。 

ニ　LNGサテライト基地におけるLNG熱量は、出荷元のLNG 熱量に依存するため、熱量管理においては基地の貯槽内濃縮には留意しなくてもよい。 

ホ　「あらかじめ確認」とは、溶接施工法、溶接士技能が技術基準に適合しているか否かをガス主任技術者が確認する行為である。""
",イ、ロ,イ、ハ,ロ、ニ,ハ、ホ,ニ、ホ,,,,,ロ、ニ
