問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""都市ガスの製造設備に関する次の記述のうち、いずれも正しいものの組合せはどれか。 

（イ）LNGサテライト基地におけるLNGローリー等からLNG貯槽への受入作業では、LNG サテライト基地側又はLNGローリー等に設けられたLNGポンプを使用して行われる。

（ロ）回転式スクリュー型のBOG圧縮機の容量調整は、アンローダー弁操作により容易に連続調整が可能である。

（ハ）ミキシングホルダーは、製造ガスを混合し、供給ガスの成分、熱量及び燃焼性を均一化させる機能を有する。

（二）エアフィン式気化器は、気化器出口のガス温度が外気温以下となることがあり、寒冷地等 では冬期の気化器出ロガス温度低下対策として、気化器の後流にNG加温器を設置する等の措置が必要となる場合もある。

（ホ）弁により液が配管中に封じ込められるおそれのあるところには、必要に応じて液の異常圧力降下を防ぐための措置を講ずる。"" ",イ、ロ,イ、二,口、ホ,ハ、二,ハ、ホ,,,,,ハ、二
"""電気計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ブルドン管式圧力計は、ブルドン管の機械的な変位量を利用するもので、一般に高圧測定には不向きである。

（ロ）オリフィス式流量計は直管部を設ける必要があるが、カルマン渦式流量計は直管部を設ける必要がない。

（ハ）熱電対はゼーベック効果を利用したもので、基準接点の温度を一定に保つ必要があり、広範囲の温度測定が可能で、振動・衝撃にも強い。

（二）UPSは、交流入力を整流部で直流に変換し、蓄電池に充電するとともに、インバーター部で一定電圧、一定周波数の交流に変換後出力する装置である。

（ホ）PID制御のP動作とは、目標値とプロセス値の偏差の大きさに比例する制御動作をする もので、この動作だけではオフセットが残る。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""LNGが気化した天然ガスをLPGで増熱して45MJ/㎥Nの供給ガスを1000㎥N製造する場合の天然ガスの使用量(㎥N)として最も近い値はどれか。
ただし、天然ガス及びLPGの発熱量は以下のとおりとする。（㎥N：標準状態におけるガスの体積)

天然ガスの発熱量（MJ/㎥N）　　40

LPGの発熱量(MJ/㎥N)　　          100"" ",714,800,817,900,917,,,,,917
"""都市ガスの付臭に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）ガスに付臭剤を注入する方式は、大別して液体注入方式、蒸発方式及び液付臭方式の3種類がある。

（ロ）滴下注入方式は、注入量の調整をニードル弁等によって行うが、手動式の場合はその精度 は低いため、流量変動の少ない小規模の付臭設備に多く用いられる。

（ハ）付臭剤に求められる要件として、ガスの供給系統を腐食せずに安定性のよいものであることや、腐食疲労を起こしにくいことなどがある。

（二）臭気濃度とは、試料ガスを無臭の空気で徐々に希釈し、感知できる最大の希釈倍数をいう。

（ホ）付臭は、ガスの漏えいを早期に検知するためのものであり、臭気濃度が高すぎても特に問題は生じない。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""製造所の地震対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ガス事業における地震対策は、1設備対策、2緊急対策、3復旧対策で構成される。

（ロ）設備対策は、設備の重要度に応じた耐震設計を行い、耐震性能の維持を図るための定期的な維持管理を行うことが基本である。

（ハ）緊急対策は、地震発生時の設備の緊急停止を防止し、ガス送出を継続することが基本である。

（二）地震発生直後の設備点検では、まずは、個別の機器ごとに詳細な点検を実施する。

（ホ）復旧対策において、原料・燃料や水等のユーティリティーは平常時より備蓄を確保するとともに、その調達ルートをあらかじめ確立しておくことが望ましい。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,ハ、二
"""製造設備の建設及び操業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）レベル2地震動に対する耐震設計の考え方は、「構造物に変形は生じるが、倒壊、漏えいは生じず、人身事故を防止」することである。

（ロ）稼働調整方式である流量制御方式は、設備負荷を一定に保つことができ、かつ急激な需要変動に追従できる制御方式である。

（ハ）ガス主任技術者は、保安上重要なガス工作物を溶接する場合、溶接施工記録に問題がないことを確認しなければならない。

（二）製造設備に係る巡視点検は、保安規程に定める内容と製造所の操業実態にあわせて実施するが、その巡視点検結果を記録する必要はない。

（ホ）製造設備を安全かつ円滑に運転するため、あらかじめ運転管理基準、運転操作要領等を作成し、それに従って関係者の教育・訓練を実施する。""",イ、ハ,イ、ホ,ロ、ハ,ロ、二,二、ホ,,,,,ロ、二
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）引張応力発生下にある金属に腐食作用が働いて、破断応力以下でも割れが生じる現象を応力腐食割れという。

（ロ）粒界腐食とは、ステンレス鋼等不動態皮膜を持つ金属が非金属物質と面を接していたり、異物が付着していたりすると、接触面や異物との間にできるすきま部分に局部腐食が生じる現象をいう。

（ハ）放射線透過試験は、欠陥の形状をフィルム上に投影された像としてみることができ、場所的な制約もなく、わかりやすく直観性がある検査である。

（ニ）故障しても影響の少ない設備や代替設備がある場合、経済性を考慮して故障発生後に設備を運用可能な状態に回復する保全を事後保全という。

（ホ）浸透探傷試験は、金属、非金属あらゆる材料の表面欠陥を調べることができる。""",イ、ハ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,ロ、ハ
"""環境対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）窒素酸化物はノックス（Nox）といい、 燃料中に含まれる各種窒素化合物の燃焼により生成するものと、空気中の窒素が燃焼による高温状態で酸化されて生成するものとがあり、前者をサーマルNOXという。

（ロ）ばいじんとは、燃料等の燃焼に際して発生する、灰分又はすす等の固形物のことをいい、燃焼温度、空気比の適正な管理等の燃焼管理を強化することにより発生量を減少させることができる。

（ハ）都市ガス事業者にとって、環境問題への対応は、企業の社会的責任（CSR）として大きな柱になってきている。

（二）交流回路における電力（W）は、電圧（V）×電流（A）×力率で示され、力率が1に近いほど損失が少ない。

（ホ）廃棄物の処理及び清掃に関する法律に定義された産業廃棄物に該当しない廃棄物は、すべて特別管理産業廃棄物になる。"" ",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ホ
"""都市ガスの原料及びその取り扱いに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　LNGは貯蔵中に外部からの入熱により沸点の低いメタンを主とするボイルオフガス(BOG)が発生するため、メタン以外の成分の濃度が高まる。これを濃縮と呼ぶ。

（口）　LNGが漏えいし、大気中に気化、拡散したとき、燃焼範囲内の濃度にある混合気が、火気に接すると着火する。拡散ガスに着火すると、火炎が伝播し液表面での燃焼となる。これをプール燃焼という。

（ハ）　シェールガスとは、主に砂岩層が貯留層となっている従来のガス田ではなく、泥岩(頁岩)層に含まれる非在来型天然ガスの一種である。

（二）LNGの受入配管等では、外部からの入熱により過熱状態になっている場合、弁の開放等により圧力が急激に減少し、LNGの一部が気化され、鉛直配管部では液・気相間の急激な相転移が連続的に生じる。これによって発生する配管の振動現象をウォーターハンマーという。

（ホ）　LPG中にH₂S等の硫黄化合物が含まれていないことが求められる。これは、LPG貯蔵タンクの材料として高張力鋼が使用される場合が多いが、溶着金属部、熱影響部等に粒界腐食が発生する可能性があるためである。""",イ、ハ,イ、ホ,口、ハ,口、ニ,二、ホ,,,,,二、ホ
"""都市ガスの製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　PC式平底円筒形貯槽は、金属二重殼式貯槽と防液堤を一体化した貯槽であり、内槽と外槽の間の空間には、外部入熱を防ぐため断熱材(パーライト)が充てんされ、断熱効果を高めるため高度の真空状態に保たれている。

（ロ）　斜流ポンプは、遠心力と羽根の揚力によって液体に圧力を与えるものである。

（ハ）　ポンプの性能曲線図は、ポンプの規定回転数における吐出量、全揚程、ポンプ効率、軸動力等の関係を示すものである。

（二）　LPGポンプは、LNG1次受入基地等では遠心式サブマージドポンプ、LNG2次受入基地やLNGサテライト基地等ではベーン式ポンプ、キャンドモーターポンプが用いられる場合が多い。

（ホ）ポンプのキャビテーションを防止するためには、有効吸込ヘッドを必要有効吸込へッドより小さくする必要がある。""",イ、ロ,イ、ホ,口、ニ,ハ、二,ハ、ホ,,,,,イ、ホ
"""製造所の電気設備及び計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　無停電電源装置(UPS)の原理は、交流入力を整流部で直流に変換し蓄電池に充電するとともに、インバーター部で一定電圧、一定周波数の交流に変換後出力される。

（ロ）　外部雷保護システムは、雷撃によって生ずる火災、設備破損又は人畜への傷害を防止することを目的とするもので、受雷部システム、引下げ導線システム及び接地システム等から構成される。

（ハ）　遠隔操作弁では、弁体の開閉動作をする可動部にスピードコントローラーを取り付け、電気信号により制御システムに開閉状態を伝えることができる。

（ニ）　超音波式流量計は、流体が腐食性のものやスラリー状のもの及びダスト含有のものの影響は受けないが、温度・密度・粘度の影響は受けやすい。

（ホ）　ディスプレースメント式液面計は、測定範囲が広く、液密度の変化が測定誤差となるが、精度は高い。""",イ、ロ,イ、ホ,口、ニ,ハ、ニ,ハ、ホ,,,,,ハ、ニ
"""都市ガスの熱量調整と燃焼性管理に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　燃焼速度は、ガスの組成、空気比等の条件により変化する値であり、どのガスでも組成に応じてある空気比のときに最大となる。この値を最大燃焼速度(MCP)という。

（ロ）　ウォッベ指数(WI)は次式で表される。WI　=　H　/　√s
ここでHはガスの総発熱量(MJ/㎥)、sはガスの密度(kg/㎥)である。

（ハ）　天然ガス(発熱量: 43MJ/㎥)をLPG(発熱量: 100MJ/㎥)で増熱して45MJ/㎥の13Aガスを50000㎥製造する場合の天然ガスの必要量X(㎥)は、次式を解くことによって求められる。
43　×　X　+　100　×　(50000　-　X)　=　45　×　50000

（ニ）　LPGを用いて増熱し熱量を調整する場合、LPGの燃焼速度は比較的速いため、WI-MCP図で、混合ガスの燃焼性の範囲を確認する。

（ホ）液ーガス熱量調整方式により天然ガス(NG)をLPGで熱量調整する場合、NGの温度により運転範囲の制限を受ける場合があり、LPGの混合量を制限するか、NGの予熱が必要になる。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,口、二
"""都市ガスの付臭に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　付臭剤の備えるべき要件の一つとして、一般に存在するにおい(生活臭)とは明瞭に区別でき、 かつ、だれもがガス臭であると認識できるにおいであることがあげられる。

（ロ）　ガスの臭気濃度は、高すぎるとガス器具の点火や消火の際のわずかな未燃ガス等をガスの漏えいと誤認しやすくなる一方、低すぎると漏えいを検知しにくくなることがある。

（ハ）　代表的な付臭剤であるターシャリーブチルメルカプタン(TBM)、ジメチルサルファイド (DMS)、シクロヘキセンは、いずれも構成元素に硫黄(S)を含む。

（二）　付臭剤を注入する方式は、大別して液体注入方式、蒸発方式及び液付臭方式の3種類があるが、液付臭方式では製造するガス流量に応じた付臭剤注入量の制御が不要である。

（ホ）　パネル法による臭気濃度の測定において、4人のパネルの感知希釈倍数がそれぞれ3000倍、1500倍、1500倍、1500倍であったとき、このガスの臭気濃度は1500倍である。""",イ、ロ,イ、ニ,口、ホ,ハ、二,ハ、ホ,,,,,ハ、ホ
"""製造所の停電対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　買電のみで保安電力を確保するためには、常用線とは系統の異なる予備回線又はそれに相当するもの等保安電力として措置されたものが必要である。

（ロ）　非常用発電設備の定格容量は、負荷の積み上げ合計値と同じでよい。

（ハ）　BOG 圧縮機の停止時間が長くなるとLNG貯槽の内部圧力が上昇するので、内部圧力の監視を強化し、必要に応じて放散処理設備による降圧の準備等を行う。

（ニ）　停電が発生した場合、買電で稼働していたガス製造設備が安全側に移行、停止していること及び保安電源等が正常に作動していることを確認する必要がある。

（ホ）　保安電力は、買電(保安電力として措置されたものに限る)又は自家発電によるものとし、蓄電池を用いてはならない。""",イ、ハ,イ、ホ,ロ、ホ,ハ、二,ハ、ホ,,,,,ロ、ホ
"""製造設備の操業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　ボイルオフガス(BOG)を送出ガスに混入する場合には、熱量調整用LPGの混入量増加等、送出ガスの品質管理に留意する必要がある。

（ロ）　LNG貯槽内のロールオーバー現象の発生を防止するため、貯槽内LNGの水平方向の密度分布を監視することが必要である。

（ハ）　個別設備の稼働調整方式の1つである圧力制御方式は、急激な需要変動に追従できる制御方式である。

（ニ）　ガス製造能力に関係する設備の定期修理計画策定にあたっては、ガス製造計画・製造設備稼働計画を元にして、ピーク時における最大必要能力を確保した定期修理計画を策定する。

（ホ）　製造設備の巡視点検は、保安規程に定める内容等に基づき実施するものとし、目視等の五感に頼らないことが重要である。""",イ、ロ,イ、二,口、ホ,ハ、二,ハ、ホ,,,,,口、ホ
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　溶接部において溶融金属が冷却される際に収縮することにより、圧縮の残留応力が生じる。

（ロ）　部材に形状的な不連続や切り欠きが存在して応力集中が高くなるほど、疲労強度は低下する。

（ハ）　材料表面層の残留応力は引張りの場合は疲労強度の低下、圧縮の場合は上昇の方向へ作用する。

（ニ）　超音波探傷試験(UT)は、検査物の片側だけから検査できるが、割れのような平面欠陥の検出には適さない。

（ホ）　放射線透過試験(RT)は、欠陥の形状をフィルム上に投影された像として見ることができるので、わかりやすい。""",イ、ニ,イ、ホ,ロ、ハ,口、ホ,ハ、ニ,,,,,イ、ニ
"""環境対策及び省エネルギーに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　都市ガスの燃料の場合は、燃焼管理を十分に行うことで、ばいじんの発生を大きく抑制することができる。

（ロ）　燃焼排ガスの脱硝法には、酸化剤としてアンモニア、尿素等を用いて、排ガス中のNOxを選択的に窒素に酸化する方法がある。

（ハ）　すべての水域において水素イオン濃度指数(pH)は、常に規制される項目の1つであり、多くの水中生物、農作物にとって望ましい水のpHは、5.8～8.6である。

（ニ）　有機物質を含む生物化学的酸素要求量(BOD)の高い排水の処理には、バクテリア等微生物の力を利用する生物処理方法がある。

（ホ）　電気エネルギーの管理では、力率を0に近づけると省エネルギー効果を上げることができる。""",イ、ハ,イ、ニ,口、ハ,ロ、ホ,二、ホ,,,,,ロ、ホ
"""都市ガスの原料及びその取り扱いに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　LNGは、液化工程でCO₂、H₂S、水分、水銀、重質炭化水素等の不純物が除去されている。

ロ　軽質と重質の異種LNGを同じ貯槽に入れる場合において、層状化は常に起きるわけではないが、密度差が大きい液の受入の場合に生じる可能性がある。

ハ　LNGは、急激な圧力上昇や温度低下により、配管内でベーパーロックが起こることがあり、送液が不可能になる等のおそれがある。

ニ　LPGは水と反応して、氷と似た水和物を生成し、ラインの閉そくトラブルを引き起こすため、LPGを取り扱う前に、機器内を十分乾燥させる必要がある。

ホ　再生可能エネルギーの観点から都市ガスの原料として利用が進められているバイオガスは、有機性廃棄物をもとにメタン合成により生成される。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　エアフィン式気化器は運転費が低廉で、主にLNGサテライト基地等でベースロード用として使用される。

ロ　BOG圧縮機には往復式や遠心式等があり、往復式圧縮機は一般に低圧で大容量のものに使用され、通常低温仕様のものが用いられる。

ハ　往復式BOG圧縮機では、ガス流量は圧力の変化によりあまり変わらないが、吐出管を絞ると圧力が上昇するので安全装置が必要となる。

ニ　バタフライ弁は、シートリングが弾性体であるため、傷に弱く、シートリングの破損が急激な漏れにつながることがある。

ホ　LPG球形貯槽は、円筒形と比較すると、同一容量に対する表面積が小さく周囲からの受熱面積が少ない等の特徴がある。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ロ、二
"""製造設備の電気設備及び計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　フィードバック制御とは、制御を乱す外的要因(外乱)が発生した場合に、その影響度を予測して外乱に対応する操作を先行し、制御対象に対する修正動作を行う方式である。

□　オリフィス式流量計は、直管部が不要であるが、流体の温度、圧力、比重の影響を受ける。

ハ　静電容量式液面計は、二重管構造の電極内に満たされる液体の上昇に伴い、その静電容量が増加する原理を用いてレベルを測定するものであり、可動部がない、誘電率の小さい液体には不向き等の特徴がある。

ニ　2回線受電の一つである常用予備受電方式(予備線)では、保守時の常用線から予備線への切り替えを無停電で行うことができる。

ホ　液化ガスを通ずる貯槽、配管等は、静電気除去のために確実な方法で接地する。貯槽管理や受入払出作業を行う者の人体の静電気除去も必要である。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ロ
"""都市ガスの熱量調整、燃焼性管理及び特殊成分の分析に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　液-ガス熱量調整方式は、LPGを気化させるための熱源として気化された天然ガス(NG)の気化潜熱を利用しているため、NGの温度により運転範囲の制限を受ける場合がある。

口　液液熱量調整方式は、LNGとLPGを液体のまま混合し熱量調整した後、気化させてガスを製造する方式である。

ハ　ガス-ガス熱量調整方式、液ガス熱量調整方式、液液熱量調整方式の中で、ランニングコストが最も高いのは、ガスガス熱量調整方式である。

ニ　ガスクロマトグラフとは、固定相(充てん剤)に移動相と呼ばれるキャリアガスを流しさて、固定相と移動相との間における試料各成分の溶解性、吸着性の差によって成分物質を分離し、測定する装置である。

ホ　特殊成分の分析方法であるイオンクロマトグラフ法は、全硫黄及び硫化水素の分析に使用できる。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,イ、ホ
"""都市ガスの代表的な付臭剤の特徴をまとめたものである。(イ)～(ハ)にあてはまる語句（付臭剤名）の組合せとして最も適切なものはどれか。
(1)～(5)の選択肢におけるDMSはジメチルサルファイド、THTはテトラヒドロチオフェン、TBMはターシャリーブチルメルカプタンである。

(イ)　分子量　62　　硫黄含有量(質量%)　51.6　　閾值(μg/㎥)　16　　特徵　一般に他の付臭剤と混合して使用している。

(ロ)　分子量　82　　硫黄含有量(質量%)　0　　閾值(μg/㎥)　225.1　　特徵　接着剤、有機溶剤(シンナー)のようなにおい。

(ハ)　分子量　90　　硫黄含有量(質量%)　35.5　　閾值(μg/㎥)　1.1　　特徵　においのインパクトが強い。

* 「閾値」とは、においの付いているガスを徐々に希釈し、においを感じなくなるときの濃度""
",(イ)DMS　　(口)THT　　(ハ)TBM,(イ)THT　　(口)シクロヘキセン　　(ハ)TBM,(イ)シクロヘキセン　　(口)DMS　　(ハ)THT,(イ)TBM　　(口)DMS　　(ハ)THT,(イ)DMS　　(口)シクロヘキセン　　(ハ)TBM,,,,,(イ)DMS　　(口)シクロヘキセン　　(ハ)TBM
