問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
電気化学反応に関する次の記述のうち、誤っているものはどれか。,物質の持つ自由エネルギーを直接電気エネルギーとして取り出すことができる。,電子を受け取る反応をカソード反応という。,標準電極電位が高い金属ほど、イオン化傾向は小さい。,電池を構成したとき、標準電極電位が高い方がプラス側の電極となる。,銅（Cu)の標準電極電位はマグネシウム（Mg)より低い。,,,,,銅（Cu)の標準電極電位はマグネシウム（Mg)より低い。
メタン５㎥を空気比１．５で完全燃焼させるのに必要な空気量（㎥）として、最も近い値はどれか。ただし、気体は標準状態（温度０℃、圧力101325Pa）とし、空気中の窒素と酸素の体積比は４：１とする。,15,30,50,75,90,,,,,75
メタン９０vol％、プロパン１０vol％からなる混合ガスの空気中における燃焼下限界（vol％）として、最も近い値はどれか。ただし、同条件における単体ガスの燃焼下限界は、メタン０.５vol％、プロパン２.０vol％とする。,3.5,3.7,3.9,4.3,4.7,,,,,4.3
気体容器内の圧力を測定するため、水を注入したマノメーターの一端を気体容器に接続し、別の一端を大気開放した。水位の差Hは５０ｍｍであった。気体容器内のゲージ圧力（Pa)として、最も近い値はどれか。ただし、水の密度は1000Kg/㎥、重力加速度は9.8m/ｓ２とする。,49,196,490,980,1960,,,,,490
管内をな流れる流体に関する次の記述のうち、誤っているものはどれか。,壁近くでは、流体が粘性の影響を受けて流速が急激に変化する。,流体の粘性や乱れによって、流れの下流の圧力が上流の圧力と比べ低くなることを圧力損失という。,配管の屈曲部で生じる圧力損失は、流れの方向を急激に変化させるより緩やかに変化させる方が小さい。,直円管内の流れでは、レイノルズ数がある値以上となると層流から乱流に遷移する。,乱流における管摩擦係数は、管壁面の粗さに依存しない。,,,,,乱流における管摩擦係数は、管壁面の粗さに依存しない。
熱交換器において、高温流体の入口温度は180℃、出口温度は50℃であった。また、低温流体の入口温度は20℃、出口温度は90℃であった。このときの高温流体の温度効率（％）として、最も近い値はどれか。,28,44,74,81,88,,,,,81
伝熱に関する次の記述のうち、誤っているものはどれか。,熱伝導での伝熱量の大きさは、温度勾配に比例する。,対流熱伝達には、自然対流や強制対流、相変化を伴う沸騰と凝縮等の様々な形態がある。,熱放射では、原子や分子のような物質を介さず真空中でも伝熱が可能である。,外部から入射してくる電磁波を完全に吸収する仮想の物体を、黒体という。,熱交換器では対流熱伝達が生じ、熱伝導は生じない。,,,,,熱交換器では対流熱伝達が生じ、熱伝導は生じない。
材料の破壊に関する次の記述のうち、誤っているものはどれか。,無限の繰り返し数に破断しないで耐えることのできる応力振幅を、破損限度と呼ぶ。,クリープは、応力が大きいほど、温度が高いほど、顕著に現れる。,応力腐食割れは、引張応力によって起きるが、圧縮応力によっては起こらない。,アルミニウム等の面心立方晶金属には、低温ぜい性が認められない。,溶接部近傍で生じる遅れ割れは、拘束応力や冷却速度が大きくなる大型構造物で発生しやすい。,,,,,アルミニウム等の面心立方晶金属には、低温ぜい性が認められない。
ある延性材料の試験片について、常温で引張試験を行ったところ、降伏点での引張応力が４５０MPaであった。この材料を許容応力９８MPaで使用するときの安全係数として、最も近い値はどれか。,0.2,0.5,2,5,10,,,,,0.2
ボンベから、流量6.72㎥/hで30分間気体を使用すると、質量が2.4kg減少した。ボンベに入っていた気体として、次のうち、最も適切なものはどれか。ただし、気体は理想気体とし、流量は標準状態（温度0℃、圧力101325Pa）における値とする。,水素,メタン,エタン,プロパン,酸素,,,,,メタン
"""温度27℃、圧力240kPaのメタンの体積が415Lであるとき、このメタンの質量(kg)として、最も近い値はどれか。
ただし、メタンは理想気体とし、気体定数R=8.3J/ (mol・K)とする。""",0.064,0.32,0.64,3.2,6.4,,,,,0.64
実在気体に関する次の記述のうち、誤っているものはどれか。,二酸化炭素及び窒素は、常温で圧力を高くするのみで液化することができる。,臨界温度より高い温度では、圧力をどれほど高くしても気体を液化することはできない。,臨界点の近傍では、臨界タンパク光と呼ばれる特異な現象が見られる。,臨界温度及び臨界圧力を超えた温度及び圧力のガスを、超臨界ガスという。,ファン・デルワールスの状態式は、分子間引力と気体分子の体積を考慮して理想気体の状態方程式を補正した式である。,,,,,二酸化炭素及び窒素は、常温で圧力を高くするのみで液化することができる。
"""容積一定の容器に入れた温度20℃の窒素1.0kmo1を、120℃になるまで加熱した。このとき 窒素に加えた熱量(kJ)として、最も近い値はどれか。
ただし、加えた熱はすべて窒素の温度 上昇に用いられるものとし、窒素の定積比熱容量 Cy=0.75kJ/(kg・K)とする。""",500,1100,2100,2500,3200,,,,,2100
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,モル熱容量とは、物質1molの温度を1K上昇させるのに必要な熱量である。,理想気体では、定圧条件において温度を上昇させるとエントロピーは減少する。,エントロピーは状態量であり、系がある状態から別の状態に移るときのエントロピー変化は、変化前後の状態のみで決まる。,ジュール・トムソン膨張では、系のエンタルピーは一定に保たれる。,定圧モル熱容量と定積モル熱容量の比を比熱比という。,,,,,理想気体では、定圧条件において温度を上昇させるとエントロピーは減少する。
化学反応に関する次の記述のうち、誤っているものはどれか。,触媒は反応速度を増加させる機能を持つが、反応の進行する方向を変えることはない。,不均一触媒反応のうち、固体触媒による反応を接触反応という。,還元反応とは、対象とする物質が電子を受け取る化学反応である。,一次反応の反応速度は、反応物質の濃度に反比例する。,反応熱は、反応の始状態と終状態のみで決まり、反応の経路によらない。,,,,,一次反応の反応速度は、反応物質の濃度に反比例する。
一次反応において、反応物質の濃度が初期濃度の12.5%になるまでに要する時間は、初期濃度の50%になるまでに要する時間の何倍になるか。次のうち、最も近い値はどれか。,1,2,3,4,5,,,,,3
プロパン1㎥を空気比1.2で完全燃焼させるのに必要な空気量 （㎥）として、 最も近い値はどれか。ただし、気体は標準状態（温度0°C、圧力101325Pa）とし、 空気中の窒素と酸素の体積比は4:1とする。,6,12,20,25,30,,,,,30
理論空気比の空気によって完全燃焼させた。このとき発生する湿り燃焼ガス中の 水蒸気の濃度 （vo1%）として、最も近い値ほどれか。ただし、空気中の窒素と酸素の体積比は4:1とする。,18,20,25,33,67,,,,,18
断面積10cmの直円管内に流体を平均流速2.1m/s で流したときの質量流量（kg/s）として、最も近い値はどれか。ただし、流体の密度は420kg/m2とする。,0.5,0.9,5,9,50,,,,,0.9
直円管内の完全に発達した流れに関する次の記述のうち、最も不適切なものはどれか。,層流では、平均流速は中心での最大流速の半分に等しい。,層流における管内の圧力損失は、平均流速に比例する。,層流から流速を上げていくと、 乱流へ遷移する。,乱流における管摩擦係数は、管壁面の粗さに依存する。,乱流の速度分布は放物線であり、管中心で最大速度になる。,,,,,乱流の速度分布は放物線であり、管中心で最大速度になる。
平均熱伝導率 2W/（m・K）の平板の耐火レンガの高温側の表面温度が1300℃、低温側の表面温度が900℃、 熱流束が4kW/m2であるとき、耐火レンガの厚さ（cm）として、最も近い値はどれか。,5,10,13,15,20,,,,,20
熱交換器において、高温流体の入口温度は150℃、出口温度は45℃であった。また低温流体の入口温度は30℃、出口温度は120℃であった。このときの高温流体の温度効率(%)として、最も近い値はどれか。,58,70,80,88,94,,,,,88
"""構造物の許容応力の判定の際には、材料の種類や使用状況に応じて適切な基準強さを選択することが重要である。（イ）〜（ハ）のそれぞれの使用状況における基準強さの組合せとして、最も適切なものはどれか。

(イ)繰り返し応力を受けるとき

(口)延性材料が常温で静荷重を受けるとき

(ハ)高温で静荷重を受けるとき""",破壊強さ 　　疲労限度　　降伏点又は耐力,破壊強さ　　降伏点又は耐力　　クリープ限度又はクリープ破壊応力,疲労限度　　破壊強さ　　降伏点又は耐力,疲労限度　　降伏点又は耐力　　クリープ限度又は クリープ破壊力,クリープ限度又はクリーブ破壊応力　　降伏点又は耐力　　破壊強さ,,,,,疲労限度　　降伏点又は耐力　　クリープ限度又は クリープ破壊力
気体の諸性質に関する次の記述のうち、誤っているものはどれか。,臨界温度より高い温度では、圧力をどれほど高くしても気体を液化させることができない。,ヘンリーの法則では、溶解度が小さい場合、温度一定で一定質量の液体に溶解する気体の質量は、気体の圧力に比例する。,アボガドロの法則によれば、すべての気体は、同じ温度、同じ圧力のとき、同じ体積中に同数の分子が存在する。,気体の粘度は、液体の粘度に比べて小さく、温度が上昇すると減少する。,単一物質の相変化において、温度一定で吸収、 又は放出される熱を潜熱という。,,,,,気体の粘度は、液体の粘度に比べて小さく、温度が上昇すると減少する。
プロパンとブタンがモル比2:1で混合している液化ガスの20℃における蒸気圧(MPa)として最も近い値はどれか。ただし、ラウールの法則が成立するものとし、20℃におけるプロパン及びブタンの蒸気圧は、それぞれ0.83MPa及び0.24MPaとする。,0.34,0.44,0.54,0.63,0.75,,,,,0.63
メタン8kg とプロパン4.4kg を混合して、容積3㎥の容器に充てんした。充てん後の 容器内の温度が27℃のとき、容器内の混合ガスの圧力(kPa)として、最も近い値はどれか。ただし、この混合ガスは理想気体とし、気体定数R= 8.3J/(mol・K)とする。,45,60,120,250,500,,,,,500
容積一定の断熱された容器に入れた温度30℃の空気1kgを、56kJの熱を加えて温めた。加熱後の空気の温度(℃)として、最も近い値はどれか。ただし、空気の定積比熱容量は、Cv =0.7kJ/(kg・K)とする。,70,80,90,100,110,,,,,110
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,孤立系は、外界との間でエネルギー(熱及び仕事)も物質も交換しない。,系がある状態から別の状態に移るときのエントロピー変化は、その途中の経路に依存する。,系の性質が時間的に変化しないとき、その系は平衡状態にある。,温度や圧力は状態量である。,熱力学の第二法則によれば、熱は自然には低温度の物体から高温度の物体へ移ることはできない。,,,,,系がある状態から別の状態に移るときのエントロピー変化は、その途中の経路に依存する。
化学反応に関する次の記述のうち、誤っているものはどれか。,温度及び圧力一定の条件の下で化学反応が起こるとき、生成系のエンタルピーが反応系のエンタルピーよりも低い場合は、発熱反応になる。,反応熱は、反応の始状態と終状態だけで決まり、反応の経路によらない。,反応熱は、反応温度によらず一定である。,単位量の物質が完全燃焼する際の反応熱を燃焼熱という。,反応に関わるすべての成分の標準生成熱がわかっているとき、標準反応熱は計算により求めることができる。,,,,,反応熱は、反応温度によらず一定である。
一次反応において、反応物質の濃度が、初期濃度α₀から1/2α₀になるまでに要した時間(半減期)が10分であった。初期濃度α₀から1/64α₀になるまでに要する時間(分)として最も近い値はどれか。,20,30,40,50,60,,,,,60
メタンを空気比1.2で完全燃焼させた。このとき発生する湿り燃焼ガス中の水蒸気濃度(vol%)として、最も近い値はどれか。ただし、空気中の窒素と酸素の体積比は4:1とする。,12.5,14.1,15.4,16.7,18.2,,,,,15.4
気体の燃焼に関する次の記述のうち、誤っているものはどれか。,水蒸気の顕熱を含む場合の発熱量を総発熱量、含まない場合を真発熱量という。,温度が高いときは、燃焼範囲が広くなり、低くなると燃焼範囲は狭くなる。,2種類以上の可燃性ガスの混合ガスの燃焼下限界はル・シャトリエの式で計算できる。,爆ごうは、 衝撃波を伴う現象である。,爆ごう範囲は、 爆発範囲(燃焼範囲)の内側にある。,,,,,水蒸気の顕熱を含む場合の発熱量を総発熱量、含まない場合を真発熱量という。
内径75mmの直円管内を水が平均流速0.8m/sで流れているときのレイノルズ数として、最も近い値はどれか。 ただし、水の密度を1000kg/㎥ 粘度を1.0×10-3Pa・sとする。,10000,20000,40000,60000,80000,,,,,60000
内径20cmの直円管内を流体が質量流量20kg/sで流れているときの平均流速(m/s として、最も近い値はどれか。 ただし、流体の密度は 320kg/㎥とする。,0.5,1,1.5,2,2.5,,,,,2
厚さ0.2mの平板断熱材の片面を-75℃とし、反対の面を25℃に保った時の熱流束が10W/㎡であった。このとき、平板断熱材の平均熱伝導率 (W/(m・K))として最も近い値はどれか。,0.01,0.02,0.03,0.04,0.05,,,,,0.02
伝熱に関する次の記述のうち、誤っているものはどれか。,物質を構成する粒子間の相互作用によって熱が移動する伝熱形態は、熱伝導である。,沸騰、凝縮等の相変化のある場合の熱伝達率は、相変化を伴わない場合の熱伝達率より小さい傾向がある。,実在物体の全放射能は、黒体に比べて小さい。,金属表面での放射率は、研磨面よりも酸化面で大きい。,熱放射では、真空中でも伝熱する。,,,,,沸騰、凝縮等の相変化のある場合の熱伝達率は、相変化を伴わない場合の熱伝達率より小さい傾向がある。
高分子材料の一般的な性質に関する次の記述のうち、誤っているものはどれか。,金属材料に比べて、熱伝導率が小さい。,金属材料に比べて、引張強さが小さい。,クリープは、常温では発生しない。,紫外線を吸収すると、分解することがある。,高温度で長時間使用していると、劣化する。,,,,,クリープは、常温では発生しない。
軟鋼の常温における応力ひずみ線図による応力は次のようになる。上降伏点：280MPa、下降伏点：240MPa、極限強さ：400MPa、破断強さ：320MPa　　この材料の下降伏点基準強さとして用いて安全係数4.0で設計する場合、常温における許容応力(MPa)として、最も近い値はどれか。,60,70,100,240,280,,,,,60
クリープに関する次の記述のうち、誤っているものはどれか。,クリープは応力が小さいほど顕著に現れる。,クリープが起こると、材料は引張強さよりも小さな応力で破壊する。,クリープは温度が高いほど顕著に現れる。,高分子材料のクリープは常温でも起きる。,炭素鋼にモリブデンを添加すると、高温クリープ強さを高める効果がある。,,,,,クリープは応力が小さいほど顕著に現れる。
実在気体の臨界現象に関する次の記述のうち、誤っているものはどれか。,臨界温度及び臨界圧力を超えた温度及び圧力のガスを超臨界ガスと呼ぶ。,気体が等温で圧縮され、液化が始まり、気体と液体が共存するときの圧力を飽和蒸気圧という。 ,メタンの臨界温度は約-83℃であるから、メタンを液化するにはこの温度以下にする必要がある。 ,二酸化炭素は臨界温度が比較的高いので、常温で圧力を加えるだけで液化する。,臨界温度より高い温度の気体であっても、圧力を上げれば液化することができる。,,,,,臨界温度より高い温度の気体であっても、圧力を上げれば液化することができる。
プロパン22kgを27℃、100kPaで完全に気化させた場合の体積(m3)として、最も近い値はどれか。ただし、プロパンは理想気体とし、気体定数は 8.3J/(mol・K)とする。,10,12,16,20,34,,,,,12
メタンとプロパンをある体積比で混合したところ、同一温度、同一圧力の空気と密度が等しくなった。メタンとプロパンの体積比として、最も近い値はどれか。ただし、空気は窒素と酸素が体積比4：1で混合したものとし、物質はいずれも理想気体とする。,"""50:50""","""54:46""","""60:40""","""70:30""","""82:18""",,,,,"""54:46"""
カルノーサイクルにおいて、次の温度条件のうち、熱効率が最大になるものはどれか。,高温熱源　　1000K　　低温熱源　　400K,高温熱源　　1000K　　低温熱源　　500K,高温熱源　　1200K　　低温熱源　　300K,高温熱源　　1200K　　低温熱源　　500K,高温熱源　　1400K　　低温熱源　　500K,,,,,高温熱源　　1200K　　低温熱源　　300K
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,熱も仕事もエネルギーの一形態である。,カルノーサイクルを用いると、仕事は熱に、熱は仕事に完全に変えることができる。,等温、定圧で2種の理想気体を混合すると、エントロピーは増加する。,理想気体を可逆的に断熱膨張させた場合、気体の温度は低下する。,断熱系における理想気体の自由膨張では、気体の温度は変化しない。,,,,,カルノーサイクルを用いると、仕事は熱に、熱は仕事に完全に変えることができる。
化学反応と化学平衡に関する次の記述のうち、誤っているものはどれか。,"電気化学反応は、化学反応を電子の授受を介して行うもので、電子を放出する反応をアノード
反応という。 ",燃焼では、発熱を伴う激しい物質の化学反応が起こる。,ルシャトリエの原理は、平衡状態にある反応系で、その状態に対して何らかの変動を加えたとき、平衡が移動する方向を示す原理のことである。,酸化反応は、対象とする物質が電子を受け取る化学反応のことである。,一次電池とは、直流電力の放電のみができ、充電ができない電池のことである。,,,,,酸化反応は、対象とする物質が電子を受け取る化学反応のことである。
"""次の反応の標準反応熱 (kJ/mol) として、最も近い値はどれか。 
CO2 + 4H2 → CH4 + 2H2O
ただし、すべての物質は気体状態とし、各成分の標準生成熱 (kJ/mol) は次の値とする。 
CH4 ： -75　　　CO2 ： -394　　　H2O ： -242　　　H2 ： 0 """,-165,-77,2,77,165,,,,,-165
水素2m3を空気6m3で完全燃焼させた。空気比として最も近い値はどれか。ただし、水素及び空気は標準状態 (0℃、101325Pa) とし、空気は窒素と酸素が体積比4：1で混合したものとする。,0.8,1,1.2,2.4,3,,,,,1.2
"""燃料の発熱量に関する次の記述について、(イ)～(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。 

発熱量の定義には、水蒸気の潜熱を含む場合の発熱量である  （イ）  と含まない場合の発熱量である  （ロ)  の二種類が設けられている。  (イ)  は  (ハ)  、  (ロ)  は  （ニ）  と呼ばれることもある。供給ガスの発熱量は一般に  （ホ）  で表す。""",（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）総発熱量 ,（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）真発熱量 ,（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）LHV 　　　（ニ）HHV 　　　（ホ）総発熱量 ,（イ）　真発熱量 　　　（ロ）総発熱量 　　　（ハ）LHV 　　　（ニ）HHV 　　　（ホ）真発熱量 ,（イ）　真発熱量 　　　（ロ）総発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）真発熱量 ,,,,,（イ）　総発熱量 　　　（ロ）真発熱量 　　　（ハ）HHV 　　　（ニ）LHV 　　　（ホ）総発熱量 
流体が内径0.1mの直円管内を流れている。平均流速が1m/sのとき、質量流量(kg/s)として最も近い値はどれか。ただし、流体の密度は1000kg/m3とする。 ,8,10,16,31,100,,,,,8
内径200mmの直円管の一端を円錐状に絞り内径100mmの直円管をつなげ、一定の流量のガスを流している。内径200mmの直円管部分における平均流速が1.0m/sのとき、内径100mmの直円管部分における平均流速(m/s)として、最も近い値はどれか。ただし、管内でガスの密度は一定とする。,0.25,0.5,2,4,8,,,,,4
平板の熱伝導に関する次の記述のうち、誤っているものはどれか。ただし、平板内の熱伝導率は一定とし、熱伝導は定常な状態とする。,伝熱量は、単位時間あたりに平板を通過するエネルギー量である。,平板を通過する熱流束は、単位面積あたりの伝熱量である。 ,平板を通過する熱流束は、両面の温度差に比例する。 ,平板を通過する熱流束は、平板の厚みに比例する。 ,平板を通過する熱流束は、平板の熱伝導率に比例する。 ,,,,,平板を通過する熱流束は、平板の厚みに比例する。 
平均熱伝導率2W/(m・K)、厚さ20cmの耐火レンガにおいて、高温側の表面の温度が800℃、熱流束が6kW/m2であるとき、低温側の表面の温度 (℃) として、最も近い値はどれか。,40,100,200,650,799,,,,,200
炭素鋼に関する次の記述のうち、誤っているものはどれか。,炭素鋼は、鉄に主な合金元素として炭素を含む鋼であり、少量の不純物を含んでいる。,炭素含有割合によって炭素0.30%以下は低炭素鋼、0.45%以上は高炭素鋼と呼ばれる。,引張強さが490MPa未満の炭素鋼が一般に用いられ、 490MPa以上の炭素鋼は高張力鋼と呼ばれる。,不純物としてリンは硬さや引張強さを増し、伸びを減らすが、延性-ぜい性の遷移温度を高める。,炭素鋼は炭素量が増加するに従い引張強さは減少し、伸びは増す。,,,,,炭素鋼は炭素量が増加するに従い引張強さは減少し、伸びは増す。
延性材料からなる円柱状の試験片に対し常温で引張試験を行った。降伏点での引張力が40000N、引張応力が200MPaであったとき、試験片の原断面積(m2)として、最も近い値はどれか。 ,2 × 10⁻⁵,2 × 10⁻⁴,4×10⁻⁴,8 × 10⁻⁴,2×10⁻³,,,,,2 × 10⁻⁴
