問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""技術基準で規定されている漏えい検査及び導管の設置場所に関する次の記述のうち、正しいものはどれか。
ただし、(1)(2)及び(3)については、この導管は、特定管理管ではなく、特定地下街等又は特定地下室等にガスを供給するものではなく、漏えい検査を行う区間に漏えい検知装置は設置されておらず、検査にあたって導管等が設置されている場所に立ち入ることができるものとする。""",道路に埋設されている導管(ポリエチレン管を除く。)で最高使用圧力が低圧のものは、埋設の日以後4年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。,道路に埋設されている導管からガス栓までに設置されている導管(埋設されている部分に限る。)で、絶縁措置が講じられており当該絶縁措置が講じられた部分からガス栓までの間でプラスチックにて被覆された部分は、埋設の日以後4年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。,導管の漏えい検査を、前回の検査の日から省令で定める期間を経過した日(以下、基準日という。)前6月以内の期間に行った場合にあっては、基準日において当該検査を行ったものとみなす。,最高使用圧力が中圧の導管であって、工場、廃棄物処理場、浄水場、下水処理場その他これらに類する場所に設置される建物にガスを供給するものは、適切な自動ガス遮断装置又は適切なガス漏れ警報器の検知区域において、当該建物の外壁を貫通するように設置しなければならない。,導管を共同溝に設置する場合は、ガス漏れにより当該共同溝及び当該共同溝に設置された他の物件の構造又は管理に支障を及ぼすことがないよう導管に適切な措置を講じなければならない。ただし、適切な措置が講じられた共同溝内に設置する場合は、この限りでない。,,,,,道路に埋設されている導管(ポリエチレン管を除く。)で最高使用圧力が低圧のものは、埋設の日以後4年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。
"""技術基準で規定されている導管及び整圧器に関する記述のうち、誤っているものはいくつあるか。

イ　ガス事業者の掘削により周囲が露出することとなった導管の露出している部分が省令で定める長さを超える場合にあっては、告示で定める基準に適合するようつり防護又は受け防護の措置を講じなければならない。

ロ　ガス事業者の掘削により周囲が露出することとなったガスの供給の用に供されている導管で、露出している部分が直管以外の管の接合部であって、溶接、フランジ接合、融着若しくはねじ接合又は告示で定める規格に適合する接合以外の方法によって接合されているものには、抜出しを防止する適切な措置を講じなければならない。

ハ　ーの使用者にガスを供給するための整圧器の入口には、不純物を除去する装置を設けなければならない。

ニ　整圧器には、ガスの圧力が異常に上昇することを防止する装置を設けなければならない。ただし、一の使用者にガスを供給するためのものにあっては、この限りでない。

ホ　浸水のおそれのある地下に設置する整圧器には、浸水を検知するための措置を講じなければならない。""",1,2,3,4,5,,,,,3
法令で規定されているガス用品及び「特定ガス消費機器の設置工事の監督に関する法律」に関する次の記述のうち、正しいものはどれか。,「ガス用品」とは、主として一般業務用建物でガスを消費する場合に用いられる機械、器具又は材料(液化石油ガス器具等を除く。)であって、政令で定めるものをいう。,特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であり、開放燃焼式のガス瞬間湯沸器が含まれる。,"「特定工事」とは、特定ガス消費機器の設置又は撤去の工事(経済産業省令で定める軽微なものを除く。)をいう。
特定工事事業者は、特定工事を施工するときは、ガス消費機器設置工事監督者の資格を有する者に実地に監督させ、又はその資格を有する特定工事事業者が自ら実地に監督しなければならない。ただし、これらの者が自ら特定工事を行う場合は、この限りでない。",特定工事事業者は、特定工事を施工したときは、経済産業省令で定めるところにより、当該特定工事に係る特定ガス消費機器の見やすい場所に、当該特定ガス消費機器の所有者の氏名又は名称を記載した表示を付さなければならない。,,,,,,"「特定工事」とは、特定ガス消費機器の設置又は撤去の工事(経済産業省令で定める軽微なものを除く。)をいう。
特定工事事業者は、特定工事を施工するときは、ガス消費機器設置工事監督者の資格を有する者に実地に監督させ、又はその資格を有する特定工事事業者が自ら実地に監督しなければならない。ただし、これらの者が自ら特定工事を行う場合は、この限りでない。"
法令で規定されている消費機器に関する周知及び調査、保安業務規程に関する次の記述のうち、正しいものはどれか。,ガス小売事業者は、経済産業省令で定めるところにより、消費機器の所有者又は占有者に対し、当該ガス小売事業者が供給するガスの使用に伴う危険の発生の防止に関し必要な事項を周知させなければならない。,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスに係る消費機器が経済産業省令で定める技術上の基準に適合しているかどうかを調査しなければならない。ただし、その消費機器を設置し、又は使用する場所に立ち入ることにつき、その所有者又は占有者の承諾を得ることができないときは、この限りでない。,ガス小売事業者は、消費機器に関する調査の結果、消費機器が経済産業省令で定める技術上の基準に適合していないと認めるときは、速やかにその使用を禁止しなければならない。,ガス小売事業者は、経済産業省令で定めるところにより、保安業務規程を定め、その事業の開始の後、遅滞なく、経済産業大臣に届け出なければならない。,"経済産業大臣は、保安業務の適正な実施を確保するため必要があると認めるときは、保安業務監督者に対し、 保安業務規程を変更すべきことを命ずることができる。
",,,,,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスに係る消費機器が経済産業省令で定める技術上の基準に適合しているかどうかを調査しなければならない。ただし、その消費機器を設置し、又は使用する場所に立ち入ることにつき、その所有者又は占有者の承諾を得ることができないときは、この限りでない。
"""消費機器の技術上の基準で規定されている次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ガスの消費量が12kWを超える屋内に設置するガス調理機器であって、密閉燃焼式以外のものには、当該燃焼器に接続して排気筒を設けること。ただし、当該燃焼器の構造上その他の理由によりこれによることが困難な場合において、当該燃焼器のための排気フードを設けるときは、この限りでない。

口　屋内に設置する自然排気式の燃焼器の排気筒 (排気扇を接続するものを除く。)の有効断面積は、当該燃焼器の排気部との接続部の有効断面積より小さいこと。

ハ　燃焼器の排気筒に接続する排気扇には、これが停止した場合に当該燃焼器へのガスの供給を自動的に遮断する装置を設けること。

ニ　ガス湯沸器(暖房兼用のものを含む。)であって、密閉燃焼式のもの(屋内に設置するものに限る。)の給排気部が外壁を貫通する箇所には、当該給排気部と外壁との間に点検のための隙間を設けること。

ホ　ガス湯沸器(暖房兼用のものを含む。)であって、密閉燃焼式のもの(屋内に設置するものに限る。)の給排気部の先端は、鳥の侵入により給排気が妨げられるおそれのない構造であること。""",イ、ハ,イ、ホ,口、ハ,口、二,二、ホ,,,,,口、二
気体の諸性質に関する次の記述のうち、誤っているものはどれか。,臨界温度より高い温度では、圧力をどれほど高くしても気体を液化させることができない。,ヘンリーの法則では、溶解度が小さい場合、温度一定で一定質量の液体に溶解する気体の質量は、気体の圧力に比例する。,アボガドロの法則によれば、すべての気体は、同じ温度、同じ圧力のとき、同じ体積中に同数の分子が存在する。,気体の粘度は、液体の粘度に比べて小さく、温度が上昇すると減少する。,単一物質の相変化において、温度一定で吸収、 又は放出される熱を潜熱という。,,,,,気体の粘度は、液体の粘度に比べて小さく、温度が上昇すると減少する。
プロパンとブタンがモル比2:1で混合している液化ガスの20℃における蒸気圧(MPa)として最も近い値はどれか。ただし、ラウールの法則が成立するものとし、20℃におけるプロパン及びブタンの蒸気圧は、それぞれ0.83MPa及び0.24MPaとする。,0.34,0.44,0.54,0.63,0.75,,,,,0.63
メタン8kg とプロパン4.4kg を混合して、容積3㎥の容器に充てんした。充てん後の 容器内の温度が27℃のとき、容器内の混合ガスの圧力(kPa)として、最も近い値はどれか。ただし、この混合ガスは理想気体とし、気体定数R= 8.3J/(mol・K)とする。,45,60,120,250,500,,,,,500
容積一定の断熱された容器に入れた温度30℃の空気1kgを、56kJの熱を加えて温めた。加熱後の空気の温度(℃)として、最も近い値はどれか。ただし、空気の定積比熱容量は、Cv =0.7kJ/(kg・K)とする。,70,80,90,100,110,,,,,110
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,孤立系は、外界との間でエネルギー(熱及び仕事)も物質も交換しない。,系がある状態から別の状態に移るときのエントロピー変化は、その途中の経路に依存する。,系の性質が時間的に変化しないとき、その系は平衡状態にある。,温度や圧力は状態量である。,熱力学の第二法則によれば、熱は自然には低温度の物体から高温度の物体へ移ることはできない。,,,,,系がある状態から別の状態に移るときのエントロピー変化は、その途中の経路に依存する。
化学反応に関する次の記述のうち、誤っているものはどれか。,温度及び圧力一定の条件の下で化学反応が起こるとき、生成系のエンタルピーが反応系のエンタルピーよりも低い場合は、発熱反応になる。,反応熱は、反応の始状態と終状態だけで決まり、反応の経路によらない。,反応熱は、反応温度によらず一定である。,単位量の物質が完全燃焼する際の反応熱を燃焼熱という。,反応に関わるすべての成分の標準生成熱がわかっているとき、標準反応熱は計算により求めることができる。,,,,,反応熱は、反応温度によらず一定である。
一次反応において、反応物質の濃度が、初期濃度α₀から1/2α₀になるまでに要した時間(半減期)が10分であった。初期濃度α₀から1/64α₀になるまでに要する時間(分)として最も近い値はどれか。,20,30,40,50,60,,,,,60
メタンを空気比1.2で完全燃焼させた。このとき発生する湿り燃焼ガス中の水蒸気濃度(vol%)として、最も近い値はどれか。ただし、空気中の窒素と酸素の体積比は4:1とする。,12.5,14.1,15.4,16.7,18.2,,,,,15.4
気体の燃焼に関する次の記述のうち、誤っているものはどれか。,水蒸気の顕熱を含む場合の発熱量を総発熱量、含まない場合を真発熱量という。,温度が高いときは、燃焼範囲が広くなり、低くなると燃焼範囲は狭くなる。,2種類以上の可燃性ガスの混合ガスの燃焼下限界はル・シャトリエの式で計算できる。,爆ごうは、 衝撃波を伴う現象である。,爆ごう範囲は、 爆発範囲(燃焼範囲)の内側にある。,,,,,水蒸気の顕熱を含む場合の発熱量を総発熱量、含まない場合を真発熱量という。
内径75mmの直円管内を水が平均流速0.8m/sで流れているときのレイノルズ数として、最も近い値はどれか。 ただし、水の密度を1000kg/㎥ 粘度を1.0×10-3Pa・sとする。,10000,20000,40000,60000,80000,,,,,60000
内径20cmの直円管内を流体が質量流量20kg/sで流れているときの平均流速(m/s として、最も近い値はどれか。 ただし、流体の密度は 320kg/㎥とする。,0.5,1,1.5,2,2.5,,,,,2
厚さ0.2mの平板断熱材の片面を-75℃とし、反対の面を25℃に保った時の熱流束が10W/㎡であった。このとき、平板断熱材の平均熱伝導率 (W/(m・K))として最も近い値はどれか。,0.01,0.02,0.03,0.04,0.05,,,,,0.02
伝熱に関する次の記述のうち、誤っているものはどれか。,物質を構成する粒子間の相互作用によって熱が移動する伝熱形態は、熱伝導である。,沸騰、凝縮等の相変化のある場合の熱伝達率は、相変化を伴わない場合の熱伝達率より小さい傾向がある。,実在物体の全放射能は、黒体に比べて小さい。,金属表面での放射率は、研磨面よりも酸化面で大きい。,熱放射では、真空中でも伝熱する。,,,,,沸騰、凝縮等の相変化のある場合の熱伝達率は、相変化を伴わない場合の熱伝達率より小さい傾向がある。
高分子材料の一般的な性質に関する次の記述のうち、誤っているものはどれか。,金属材料に比べて、熱伝導率が小さい。,金属材料に比べて、引張強さが小さい。,クリープは、常温では発生しない。,紫外線を吸収すると、分解することがある。,高温度で長時間使用していると、劣化する。,,,,,クリープは、常温では発生しない。
軟鋼の常温における応力ひずみ線図による応力は次のようになる。上降伏点：280MPa、下降伏点：240MPa、極限強さ：400MPa、破断強さ：320MPa　　この材料の下降伏点基準強さとして用いて安全係数4.0で設計する場合、常温における許容応力(MPa)として、最も近い値はどれか。,60,70,100,240,280,,,,,60
"""都市ガスの原料及びその取り扱いに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　LNGは、液化工程でCO₂、H₂S、水分、水銀、重質炭化水素等の不純物が除去されている。

ロ　軽質と重質の異種LNGを同じ貯槽に入れる場合において、層状化は常に起きるわけではないが、密度差が大きい液の受入の場合に生じる可能性がある。

ハ　LNGは、急激な圧力上昇や温度低下により、配管内でベーパーロックが起こることがあり、送液が不可能になる等のおそれがある。

ニ　LPGは水と反応して、氷と似た水和物を生成し、ラインの閉そくトラブルを引き起こすため、LPGを取り扱う前に、機器内を十分乾燥させる必要がある。

ホ　再生可能エネルギーの観点から都市ガスの原料として利用が進められているバイオガスは、有機性廃棄物をもとにメタン合成により生成される。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　エアフィン式気化器は運転費が低廉で、主にLNGサテライト基地等でベースロード用として使用される。

ロ　BOG圧縮機には往復式や遠心式等があり、往復式圧縮機は一般に低圧で大容量のものに使用され、通常低温仕様のものが用いられる。

ハ　往復式BOG圧縮機では、ガス流量は圧力の変化によりあまり変わらないが、吐出管を絞ると圧力が上昇するので安全装置が必要となる。

ニ　バタフライ弁は、シートリングが弾性体であるため、傷に弱く、シートリングの破損が急激な漏れにつながることがある。

ホ　LPG球形貯槽は、円筒形と比較すると、同一容量に対する表面積が小さく周囲からの受熱面積が少ない等の特徴がある。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ロ、二
"""製造設備の電気設備及び計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　フィードバック制御とは、制御を乱す外的要因(外乱)が発生した場合に、その影響度を予測して外乱に対応する操作を先行し、制御対象に対する修正動作を行う方式である。

□　オリフィス式流量計は、直管部が不要であるが、流体の温度、圧力、比重の影響を受ける。

ハ　静電容量式液面計は、二重管構造の電極内に満たされる液体の上昇に伴い、その静電容量が増加する原理を用いてレベルを測定するものであり、可動部がない、誘電率の小さい液体には不向き等の特徴がある。

ニ　2回線受電の一つである常用予備受電方式(予備線)では、保守時の常用線から予備線への切り替えを無停電で行うことができる。

ホ　液化ガスを通ずる貯槽、配管等は、静電気除去のために確実な方法で接地する。貯槽管理や受入払出作業を行う者の人体の静電気除去も必要である。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ロ
"""都市ガスの熱量調整、燃焼性管理及び特殊成分の分析に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　液-ガス熱量調整方式は、LPGを気化させるための熱源として気化された天然ガス(NG)の気化潜熱を利用しているため、NGの温度により運転範囲の制限を受ける場合がある。

口　液液熱量調整方式は、LNGとLPGを液体のまま混合し熱量調整した後、気化させてガスを製造する方式である。

ハ　ガス-ガス熱量調整方式、液ガス熱量調整方式、液液熱量調整方式の中で、ランニングコストが最も高いのは、ガスガス熱量調整方式である。

ニ　ガスクロマトグラフとは、固定相(充てん剤)に移動相と呼ばれるキャリアガスを流しさて、固定相と移動相との間における試料各成分の溶解性、吸着性の差によって成分物質を分離し、測定する装置である。

ホ　特殊成分の分析方法であるイオンクロマトグラフ法は、全硫黄及び硫化水素の分析に使用できる。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,イ、ホ
